ticker,MMLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-01,-6.8421
2002-11-04,0.9548
2002-11-05,-0.8898
2002-11-06,-0.3953
2002-11-07,0.0567
2002-11-08,1.1331
2002-11-11,0.5602
2002-11-12,1.1142
2002-11-13,-0.8264
2002-11-14,-0.2778
2002-11-15,0.2786
2002-11-18,0.0556
2002-11-19,0.4997
2002-11-20,-0.5525
2002-11-21,1.1111
2002-11-22,-0.5495
2002-11-25,-0.5525
2002-11-26,0.0
2002-11-27,1.0
2002-11-29,0.055
2002-12-02,0.3299
2002-12-03,-0.8219
2002-12-04,-0.5525
2002-12-05,0.4444
2002-12-06,0.6637
2002-12-09,-1.6484
2002-12-10,-0.838
2002-12-11,-1.4085
2002-12-12,0.0
2002-12-13,-2.5714
2002-12-16,2.4633
2002-12-17,0.7441
2002-12-18,1.5909
2002-12-19,-2.1253
2002-12-20,0.5143
2002-12-23,-0.2274
2002-12-24,-0.3476
2002-12-26,0.0629
2002-12-27,-0.5714
2002-12-30,0.0
2002-12-31,2.0115
2003-01-02,1.0141
2003-01-03,1.227
2003-01-06,-0.8264
2003-01-07,-2.7778
2003-01-08,1.4285999999999999
2003-01-09,-0.7324
2003-01-10,-0.3973
2003-01-13,-0.057
2003-01-14,0.6842
2003-01-15,1.3024
2003-01-16,2.0123
2003-01-17,-0.8767
2003-01-21,-0.2764
2003-01-22,0.0554
2003-01-23,-0.2722
2003-01-24,1.6617
2003-01-27,-0.8197
2003-01-28,0.8264
2003-01-29,1.4082
2003-01-30,0.0
2003-01-31,0.4932
2003-02-03,0.5453
2003-02-04,-0.2169
2003-02-05,0.2717
2003-02-06,-1.084
2003-02-07,-0.8219
2003-02-10,-0.5525
2003-02-11,0.5556
2003-02-12,-0.1609
2003-02-13,0.7145
2003-02-14,-0.1099
2003-02-18,-1.8647
2003-02-19,2.0122
2003-02-20,-0.2198
2003-02-21,0.4956
2003-02-24,-0.7671
2003-02-25,-1.4357
2003-02-26,0.0
2003-02-27,1.6806999999999999
2003-02-28,0.2755
2003-03-03,0.0
2003-03-04,-0.8242
2003-03-05,0.831
2003-03-06,-0.4945
2003-03-07,0.2209
2003-03-10,-0.551
2003-03-11,0.2216
2003-03-12,0.8292
2003-03-13,1.2061
2003-03-14,-0.8667
2003-03-17,-1.6393
2003-03-18,-1.3889
2003-03-19,0.0563
2003-03-20,0.5068
2003-03-21,3.0812
2003-03-24,-2.4457
2003-03-25,2.8357
2003-03-26,-0.8614
2003-03-27,2.1311
