ticker,PNRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-19,7.1429
2008-09-24,1.3333
2008-09-25,0.0
2008-10-15,-1.3158
2008-10-16,2.6667
2008-10-17,2.5974
2008-10-20,-2.5316
2008-10-21,3.8961
2008-10-22,1.25
2008-10-23,13.5802
2008-10-24,-1.087
2008-10-27,4.3956
2008-10-28,12.6316
2008-10-29,-5.6075
2008-10-30,-5.9406
2008-10-31,0.0
2008-11-03,-3.1579
2008-11-04,-8.6957
2008-11-05,28.5714
2008-11-06,-16.6667
2008-11-07,-7.7778
2008-11-10,12.0482
2008-11-11,0.0
2008-11-12,-5.3763
2008-11-13,0.0
2008-11-14,-10.2273
2008-11-17,1.2658
2008-11-18,-11.25
2008-11-19,-42.2535
2008-11-20,-21.9512
2008-11-21,40.625
2008-11-24,0.0
2008-11-26,11.1111
2008-12-01,-36.0
2008-12-02,56.25
2008-12-08,-34.0
2008-12-09,-9.0909
2008-12-10,-33.3333
2008-12-11,0.0
2008-12-12,0.0
2008-12-15,0.0
2008-12-16,0.0
2008-12-18,0.0
2008-12-19,0.0
2008-12-22,125.0
2008-12-23,-25.5556
2008-12-29,13.4328
2008-12-30,-28.947400000000002
2008-12-31,25.9259
2009-01-02,-11.7647
2009-01-06,-33.3333
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,0.0
2009-01-16,0.0
2009-01-20,0.0
2009-01-23,0.0
2009-01-28,25.0
2009-01-29,20.0
2009-02-02,11.6667
2009-02-05,55.2239
2009-02-06,-1.9231
2009-02-09,17.647100000000002
2009-02-10,-1.6667
2009-02-11,22.0339
2009-02-12,0.0
2009-02-13,11.1111
2009-02-17,3.75
2009-02-18,-1.2048
2009-02-19,-14.6341
2009-02-20,7.1429
2009-02-23,13.3333
2009-02-24,1.1764999999999999
2009-02-25,-1.1628
2009-02-27,-5.8824
2009-03-03,-15.0
2009-03-04,13.2353
2009-03-05,0.0
2009-03-06,0.0
2009-03-09,-6.4935
2009-03-10,-1.3889
2009-03-11,7.0423
2009-03-16,-5.2632
2009-03-17,-2.7778
2009-03-19,0.0
2009-03-23,2.8571
2009-03-26,-5.5556
2009-03-27,4.4118
2009-03-30,0.0
2009-04-01,-23.9437
2009-04-03,0.0
2009-04-07,16.6667
2009-04-08,-4.7619
2009-04-09,3.3333
2009-04-13,4.8387
2009-04-14,-16.9231
2009-04-15,12.963
2009-04-16,-4.918
2009-04-17,-10.3448
2009-04-20,-1.9231
2009-04-21,-5.8824
2009-04-22,-16.6667
