ticker,AMLM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-22,0.0
2011-06-23,-2.3062
2011-06-24,-0.0656
2011-06-27,2.3622
2011-06-28,-2.5641
2011-06-29,7.6974
2011-06-30,-0.3054
2011-07-01,-1.9607999999999999
2011-07-05,0.0
2011-07-06,5.0
2011-07-07,-4.7619
2011-07-08,-4.8125
2011-07-11,-1.7728000000000002
2011-07-12,-3.6765
2011-07-13,-0.0694
2011-07-14,0.0
2011-07-15,-2.7778
2011-07-18,-2.8571
2011-07-19,-5.8824
2011-07-20,-17.5
2011-07-21,21.2121
2011-07-22,-18.75
2011-07-25,0.0
2011-07-26,3.8462
2011-07-27,3.7037
2011-07-28,-3.5714
2011-07-29,1.4815
2011-08-01,-1.4599
2011-08-02,-3.7037
2011-08-03,-3.8462
2011-08-04,-12.0
2011-08-05,8.0682
2011-08-08,-6.6246
2011-08-09,34.2342
2011-08-10,-19.4631
2011-08-11,-8.3333
2011-08-12,8.9773
2011-08-15,-8.2377
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,-4.5455
2011-08-19,-4.7619
2011-08-22,0.0
2011-08-23,-15.0
2011-08-24,0.0
2011-08-25,17.647100000000002
2011-08-26,0.0
2011-08-29,40.0
2011-08-30,-21.3393
2011-08-31,8.9671
2011-09-01,-7.5
2011-09-02,21.509
2011-09-06,-3.6145
2011-09-07,-18.4615
2011-09-08,0.0
2011-09-09,8.4906
2011-09-12,13.0435
2011-09-13,-15.3846
2011-09-14,22.7273
2011-09-15,-7.4074
2011-09-16,-20.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,15.0
2011-09-22,-8.6957
2011-09-23,-4.7619
2011-09-26,0.0
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,-5.0
2011-09-30,0.0
2011-10-03,-5.2632
2011-10-04,11.1111
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,-10.0
2011-10-10,0.0
2011-10-11,11.1111
2011-10-12,-10.0
2011-10-13,11.1111
2011-10-14,-15.0
2011-10-17,0.0
2011-10-18,0.0
2011-10-19,-11.7647
2011-10-20,13.3333
2011-10-21,-11.7647
2011-10-24,-6.0
2011-10-25,-0.7092
2011-10-26,24.2857
2011-10-27,-8.046
2011-10-28,-12.5
2011-10-31,-7.1429
2011-11-01,-7.1154
2011-11-02,0.207
2011-11-03,0.0
2011-11-04,4.9587
2011-11-07,22.3425
2011-11-08,-8.6082
2011-11-09,-7.0423
2011-11-10,-6.0606
2011-11-11,12.9032
