ticker,OKTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-07,38.2941
2017-04-10,-1.1059
2017-04-11,0.2151
2017-04-12,-1.2876
2017-04-13,6.4783
2017-04-17,-0.0817
2017-04-18,-3.678
2017-04-19,-0.9334
2017-04-20,2.8266
2017-04-21,1.1662
2017-04-24,-1.4409
2017-04-25,3.2164
2017-04-26,3.278
2017-04-27,3.1348
2017-04-28,-1.0258
2017-05-01,-2.0345
2017-05-02,-2.9781
2017-05-03,0.8683
2017-05-04,-0.02
2017-05-05,0.7209
2017-05-08,-5.6461
2017-05-09,0.5478
2017-05-10,-1.7184
2017-05-11,-0.4691
2017-05-12,1.5424
2017-05-15,0.1688
2017-05-16,-2.0219
2017-05-17,-1.5047000000000001
2017-05-18,0.3492
2017-05-19,5.4371
2017-05-22,3.1766
2017-05-23,-1.9592
2017-05-24,-1.1419
2017-05-25,3.3828
2017-05-26,3.7111
2017-05-30,0.0
2017-05-31,0.4232
2017-06-01,-3.0651
2017-06-02,-1.4625
2017-06-05,-1.2836
2017-06-06,0.9752
2017-06-07,3.3803
2017-06-08,5.6831
2017-06-09,-7.5875
2017-06-12,-5.1016
2017-06-13,7.2239
2017-06-14,3.9953
2017-06-15,-3.4275
2017-06-16,3.2761
2017-06-19,3.1344
2017-06-20,-2.5632
2017-06-21,-2.5179
2017-06-22,1.3878
2017-06-23,-2.9278
2017-06-26,-0.9792
2017-06-27,-4.9051
2017-06-28,-0.208
2017-06-29,-2.9179
2017-06-30,-2.1039
2017-07-03,-1.3158
2017-07-05,-0.5333
2017-07-06,1.7873
2017-07-07,2.7217000000000002
2017-07-10,-0.812
2017-07-11,-0.8186
2017-07-12,1.3032
2017-07-13,-0.5575
2017-07-14,-0.2156
2017-07-17,2.6793
2017-07-18,-0.0421
2017-07-19,1.6842000000000001
2017-07-20,-0.4969
2017-07-21,0.9988
2017-07-24,-2.5134
2017-07-25,0.0845
2017-07-26,-0.6757
2017-07-27,-3.5289
2017-07-28,-1.4102999999999999
2017-07-31,-1.8775
2017-08-01,3.3713
2017-08-02,-2.2036
2017-08-03,2.8391
2017-08-04,0.8326
2017-08-07,1.8688
2017-08-08,0.5119
2017-08-09,0.4669
2017-08-10,-2.9996
2017-08-11,3.5714
2017-08-14,1.0513
2017-08-15,-1.7478
2017-08-16,4.1084
2017-08-17,-1.3426
2017-08-18,2.5155
2017-08-21,0.8447
2017-08-22,2.513
2017-08-23,-1.0117
2017-08-24,-0.1179
2017-08-25,-1.889
