ticker,EVRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-29,83.6364
2008-05-23,8.9109
2008-06-05,536.3636
2008-06-30,0.0
2008-08-20,-97.1429
2008-08-22,270.0
2008-08-25,-59.4595
2008-08-27,0.0
2008-08-28,150.0
2008-09-19,-93.3333
2008-09-24,-60.0
2008-09-25,400.0
2008-09-30,100.0
2008-10-09,-85.0
2008-10-10,-33.3333
2008-10-15,25.0
2008-10-16,20.0
2008-10-20,33.3333
2008-10-21,25.0
2008-10-22,60.0
2008-10-28,87.5
2008-10-29,6.6667
2008-10-30,-36.875
2008-11-11,-0.9901
2008-11-12,30.0
2008-12-04,292.3077
2009-01-08,-86.2745
2009-01-09,0.0
2009-02-26,-57.1429
2009-03-13,0.0
2009-04-03,166.6667
2009-04-06,-62.5
2009-04-13,166.6667
2009-04-20,-62.5
2009-04-23,33.3333
2009-05-04,-25.0
2009-05-22,166.6667
2009-05-26,-6.25
2009-05-27,33.3333
2009-05-28,0.0
2009-05-29,0.0
2009-06-26,20.0
2009-06-29,-16.6667
2009-06-30,50.0
2009-07-01,-6.0
2009-07-02,6.383
2009-07-06,-26.6667
2009-07-07,-13.6364
2009-07-08,-31.5789
2009-07-09,84.6154
2009-07-10,16.6667
2009-07-13,-28.5714
2009-07-14,-25.0
2009-07-15,-6.6667
2009-07-16,7.1429
2009-07-17,-20.0
2009-07-20,-8.3333
2009-07-21,-54.5455
2009-07-22,30.0
2009-07-23,7.6923
2009-07-24,-17.1429
2009-07-27,-13.7931
2009-07-28,-8.0
2009-07-29,-13.0435
2009-07-30,150.625
2009-07-31,-14.2145
2009-08-03,-2.3256
2009-08-04,-4.7619
2009-08-05,-12.5
2009-08-06,2.8571
2009-08-07,5.5556
2009-08-10,2.6316
2009-08-11,-17.9487
2009-08-12,3.125
2009-08-13,3.0303
2009-08-14,-2.9412000000000003
2009-08-17,-1.5152
2009-08-18,-7.3077
2009-08-19,-5.3942
2009-08-20,8.7719
2009-08-21,-3.2258
2009-08-24,-10.0
2009-08-25,-14.8148
2009-08-26,2.1739
2009-08-27,-2.1277
2009-08-28,13.0435
2009-08-31,-3.8462
2009-09-01,-8.0
2009-09-02,10.8696
2009-09-03,-9.8039
2009-09-04,4.3478
2009-09-08,-6.25
2009-09-09,2.2222
2009-09-10,4.3478
2009-09-11,0.0
2009-09-14,-6.25
2009-09-15,-11.1111
2009-09-16,17.5
2009-09-17,-10.1064
2009-09-18,8.8757
2009-09-21,8.6957
2009-09-22,-12.0
