ticker,TXIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-14,0.0
2006-06-15,0.0
2006-06-16,0.0
2006-06-19,-0.4286
2006-06-20,-0.1435
2006-06-21,-0.1437
2006-06-22,0.8633
2006-06-23,-0.1427
2006-06-26,0.0
2006-06-27,0.0
2006-06-28,-0.7143
2006-06-29,0.1439
2006-06-30,2.0115
2006-07-05,-0.2817
2006-07-06,0.0
2006-07-07,-0.565
2006-07-10,-0.142
2006-07-11,0.1422
2006-07-12,0.0
2006-07-13,0.2841
2006-07-14,-0.1416
2006-07-18,-0.2837
2006-07-19,-0.4267
2006-07-20,0.0
2006-07-21,0.0
2006-07-24,0.2857
2006-07-25,-0.2849
2006-07-26,0.0
2006-07-27,0.1429
2006-07-28,-0.1427
2006-08-01,0.2857
2006-08-02,-0.1425
2006-08-03,0.0
2006-08-04,0.0
2006-08-07,0.0
2006-08-08,0.2853
2006-08-09,0.4267
2006-08-10,0.0
2006-08-11,-0.1416
2006-08-15,0.0
2006-08-17,0.0
2006-08-18,0.0
2006-08-22,0.0
2006-08-23,0.1418
2006-08-25,0.5666
2006-08-29,-0.2817
2006-08-30,0.7062
2006-09-06,-0.4208
2006-09-07,0.0
2006-09-12,0.5634
2006-09-13,0.9804
2006-09-18,-0.1387
2006-09-21,-0.6944
2006-09-25,0.6993
2006-09-26,0.6944
2006-09-28,0.6897
2006-10-03,-1.3699
2006-10-04,0.6944
2006-10-10,0.0
2006-10-11,0.0
2006-10-12,0.0
2006-10-20,0.0
2006-10-23,-0.1379
2006-10-26,-0.5525
2006-11-01,0.0
2006-11-02,-0.2778
2006-11-07,-0.2786
2006-11-09,-0.1397
2006-11-16,0.1399
2006-11-20,0.0
2006-11-21,0.0
2006-11-22,0.0
2006-11-29,1.1173
2006-11-30,0.0
2006-12-01,0.1381
2006-12-04,-0.2759
2006-12-05,0.0
2006-12-06,0.2766
2006-12-07,0.0
2006-12-08,0.2759
2006-12-11,0.0
2006-12-12,0.0
2006-12-13,0.0
2006-12-14,1.1004
2006-12-15,0.0
2006-12-18,-0.6803
2006-12-21,2.0548
2006-12-22,1.745
2006-12-26,2.2427
2006-12-27,3.2258
2006-12-28,1.0
2006-12-29,0.0
2007-01-03,0.2475
2007-01-05,1.8519
2007-01-08,0.9697
2007-01-09,0.8403
2007-01-10,-3.5714
2007-01-11,-2.4691
2007-01-12,1.8987
2007-01-16,-1.4907
2007-01-19,-1.0088
2007-01-22,-0.3822
2007-01-23,0.0
