ticker,SVMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-26,43.6667
2018-09-27,-6.4965
2018-09-28,-0.5583
2018-10-01,-2.0586
2018-10-02,-8.9809
2018-10-03,3.1491
2018-10-04,-8.5482
2018-10-05,2.5964
2018-10-08,2.7477
2018-10-09,-9.5707
2018-10-10,-7.1206
2018-10-11,4.4826
2018-10-12,3.3681
2018-10-15,-0.5431
2018-10-16,1.8721
2018-10-17,3.2925
2018-10-18,1.9274
2018-10-19,-5.3091
2018-10-22,-10.6759
2018-10-23,-4.8151
2018-10-24,-0.7227
2018-10-25,4.1856
2018-10-26,-0.524
2018-10-29,-9.2186
2018-10-30,-0.3868
2018-10-31,3.9806
2018-11-01,5.3221
2018-11-02,2.5709
2018-11-05,-2.9386
2018-11-06,0.1781
2018-11-07,5.7778
2018-11-08,-3.9496
2018-11-09,-5.7743
2018-11-12,6.7781
2018-11-13,-1.8260999999999998
2018-11-14,13.1089
2018-11-15,3.4455999999999998
2018-11-16,7.1158
2018-11-19,-8.1979
2018-11-20,0.4619
2018-11-21,-1.9157
2018-11-23,1.5625
2018-11-26,2.4615
2018-11-27,-0.0751
2018-11-28,5.2592
2018-11-29,3.783
2018-11-30,-1.7882
2018-12-03,0.4202
2018-12-04,-0.8368
2018-12-06,-2.3207
2018-12-07,-2.7358000000000002
2018-12-10,-2.2206
2018-12-11,-2.0439
2018-12-12,0.7728
2018-12-13,-0.7669
2018-12-14,-3.7866999999999997
2018-12-17,-11.887599999999999
2018-12-18,0.3646
2018-12-19,0.3633
2018-12-20,-0.181
2018-12-21,-0.4533
2018-12-24,-1.184
2018-12-26,4.5161
2018-12-27,-1.3228
2018-12-28,0.2681
2018-12-31,9.3583
2019-01-02,-2.934
2019-01-03,-1.5953
2019-01-04,8.0205
2019-01-07,5.8452
2019-01-08,1.7164000000000001
2019-01-09,-1.1739
2019-01-10,-3.1923
2019-01-11,2.5307
2019-01-14,-0.0748
2019-01-15,0.3743
2019-01-16,-0.8203
2019-01-17,-1.5789
2019-01-18,2.4446
2019-01-22,-4.7726
2019-01-23,-0.3915
2019-01-24,3.6164
2019-01-25,0.3794
2019-01-28,-2.4943
2019-01-29,-2.0155
2019-01-30,0.2373
2019-01-31,2.6835
2019-02-01,-1.6141
2019-02-04,6.6406
2019-02-05,0.293
2019-02-06,0.073
2019-02-07,2.2628
2019-02-08,0.4996
2019-02-11,1.6335
2019-02-12,-1.4675
2019-02-13,-0.2837
2019-02-14,-15.7183
