ticker,MMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.576
2000-01-04,-3.9735
2000-01-05,2.8966
2000-01-06,8.0429
2000-01-07,1.9851
2000-01-10,-0.4866
2000-01-11,-1.7115
2000-01-12,0.2488
2000-01-13,0.0
2000-01-14,-1.4268
2000-01-18,-2.2026
2000-01-19,1.7375
2000-01-20,-3.7318
2000-01-21,-0.1971
2000-01-24,-2.3041
2000-01-25,-1.4825
2000-01-26,5.4036
2000-01-27,-0.0649
2000-01-28,-4.1558
2000-01-31,1.4905
2000-02-01,0.534
2000-02-02,-1.7264
2000-02-03,-0.8784
2000-02-04,-2.863
2000-02-07,-1.6139999999999999
2000-02-08,0.0713
2000-02-09,-0.0713
2000-02-10,-1.8545
2000-02-11,-3.561
2000-02-14,-0.0754
2000-02-15,7.5415
2000-02-16,-0.9116
2000-02-17,1.4862
2000-02-18,-2.3013
2000-02-22,2.9265
2000-02-23,3.0707
2000-02-24,-1.4218
2000-02-25,-5.7692
2000-02-28,0.8017
2000-02-29,2.0246
2000-03-01,-2.3388
2000-03-02,-0.0726
2000-03-03,3.9942
2000-03-06,-2.5140000000000002
2000-03-07,-5.1576
2000-03-08,-0.2266
2000-03-09,-1.9682
2000-03-10,0.695
2000-03-13,-3.0675
2000-03-14,0.1582
2000-03-15,4.2654
2000-03-16,6.7424
2000-03-17,-2.484
2000-03-20,1.31
2000-03-21,3.9511
2000-03-22,-4.9067
2000-03-23,1.1628
2000-03-24,4.454
2000-03-27,-2.4759
2000-03-28,0.2821
2000-03-29,-1.4064999999999999
2000-03-30,1.5692
2000-03-31,-0.4916
2000-04-03,3.7403
2000-04-04,1.1565
2000-04-05,-1.9502000000000002
2000-04-06,2.4691
2000-04-07,-1.8742
2000-04-10,1.2278
2000-04-11,2.8975999999999997
2000-04-12,-0.8513
2000-04-13,0.1321
2000-04-14,-4.1557
2000-04-17,-1.0323
2000-04-18,0.0
2000-04-19,0.6259
2000-04-20,2.0041
2000-04-24,5.5556
2000-04-25,-3.6585
2000-04-26,-5.1965
2000-04-27,-1.6865999999999999
2000-04-28,-0.9292
2000-05-01,0.3608
2000-05-02,0.0
2000-05-03,-1.294
2000-05-04,-0.437
2000-05-05,1.4631
2000-05-08,0.721
2000-05-09,-1.5032
2000-05-10,-0.0727
2000-05-11,0.0
2000-05-12,-1.2364
2000-05-15,1.2518
2000-05-16,4.8
2000-05-17,-1.6461000000000001
2000-05-18,-1.0653
2000-05-19,-2.9433
