ticker,EIPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-09,-12.5
2007-01-10,-14.2857
2007-01-11,3.3333
2007-01-12,-3.2258
2007-01-16,-6.6667
2007-01-24,260.7143
2007-01-25,-0.9901
2007-01-26,150.0
2007-01-29,-84.4
2007-01-30,-10.2564
2007-01-31,5.7143
2007-02-01,-32.4324
2007-02-02,24.0
2007-02-05,-6.4516
2007-02-06,-47.5862
2007-02-07,29.6053
2007-02-08,-48.2234
2007-02-09,64.7059
2007-02-12,2.9762
2007-02-14,-10.4046
2007-02-15,3.2258
2007-02-16,0.0
2007-02-20,0.0
2007-02-21,0.0
2007-02-27,0.0
2007-03-01,0.0
2007-03-06,0.0
2007-03-07,6.25
2007-03-08,0.0
2007-03-14,0.0
2007-03-22,-2.9412000000000003
2007-03-23,-3.0303
2007-03-26,12.5
2007-03-27,0.0
2007-03-29,0.0
2007-04-03,0.0
2007-04-04,5.5556
2007-04-05,0.0
2007-04-09,5.2632
2007-04-12,0.0
2007-04-13,75.0
2007-04-17,-5.7143
2007-04-19,3.0303
2007-04-20,0.0
2007-04-23,0.0
2007-04-24,-11.7647
2007-04-25,0.0
2007-04-26,-16.6667
2007-04-27,0.0
2007-04-30,0.0
2007-05-02,0.0
2007-05-03,0.0
2007-05-04,-20.0
2007-05-07,-15.0
2007-05-08,0.0
2007-05-09,29.4118
2007-05-10,-22.7273
2007-05-11,17.647100000000002
2007-05-14,0.0
2007-05-15,-2.5
2007-05-17,2.5641
2007-05-18,10.0
2007-05-21,4.5455
2007-05-22,-4.3478
2007-05-23,-22.7273
2007-05-24,-2.9412000000000003
2007-05-25,3.0303
2007-05-29,0.0
2007-05-30,-11.7647
2007-06-01,-3.3333
2007-06-05,3.4483
2007-06-06,3.3333
2007-06-08,0.0
2007-06-12,-3.2258
2007-06-13,-6.6667
2007-06-20,7.1429
2007-06-25,0.0
2007-07-05,-6.6667
2007-07-10,0.0
2007-07-12,0.0
2007-07-13,0.0
2007-07-16,-14.2857
2007-07-17,8.3333
2007-07-18,7.6923
2007-07-19,0.0
2007-07-20,28.5714
2007-07-23,-16.6667
2007-07-24,-6.6667
2007-07-26,0.0
2007-07-30,-3.5714
2007-07-31,-11.1111
2007-08-01,0.0
2007-08-02,-33.3333
2007-08-03,25.0
2007-08-06,0.0
2007-08-07,-10.0
2007-08-13,0.0
2007-08-14,-11.1111
2007-08-15,12.5
2007-08-16,0.0
2007-08-17,-11.1111
2007-08-20,0.0
2007-08-21,-25.0
