ticker,NHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3810000000000002
2000-01-04,8.5366
2000-01-05,-3.3708
2000-01-06,-6.9767
2000-01-07,2.5
2000-01-10,7.3171
2000-01-11,-6.8182
2000-01-12,2.439
2000-01-13,-2.3810000000000002
2000-01-14,2.439
2000-01-18,-7.1429
2000-01-19,2.5641
2000-01-20,0.0
2000-01-21,-7.5
2000-01-24,0.0
2000-01-25,-1.3514
2000-01-26,1.3699
2000-01-27,-2.7027
2000-01-28,11.1111
2000-01-31,-10.0
2000-02-01,0.0
2000-02-02,2.7778
2000-02-03,-2.7027
2000-02-04,-5.5556
2000-02-07,2.9412000000000003
2000-02-08,2.8571
2000-02-09,5.5556
2000-02-10,0.0
2000-02-11,-2.6316
2000-02-14,-2.7027
2000-02-15,-2.7778
2000-02-16,-2.8571
2000-02-17,2.9412000000000003
2000-02-18,8.5714
2000-02-22,-7.8947
2000-02-23,-2.8571
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,5.8824
2000-02-29,-5.5556
2000-03-01,11.7647
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,-7.8947
2000-03-07,-2.8571
2000-03-08,5.8824
2000-03-09,-5.5556
2000-03-13,-1.4706000000000001
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,4.4776
2000-03-17,-2.8571
2000-03-20,4.4118
2000-03-21,0.0
2000-03-22,-1.4085
2000-03-23,-2.8571
2000-03-24,0.0
2000-03-27,2.9412000000000003
2000-03-28,5.7143
2000-03-29,-2.7027
2000-03-30,0.0
2000-03-31,18.0556
2000-04-03,-5.8824
2000-04-04,0.0
2000-04-05,-2.5
2000-04-06,0.0
2000-04-07,-2.5641
2000-04-10,-2.6316
2000-04-11,-2.7027
2000-04-12,-5.5556
2000-04-14,1.4706000000000001
2000-04-17,2.8986
2000-04-18,1.4085
2000-04-19,0.0
2000-04-20,-2.7778
2000-04-24,0.0
2000-04-25,8.5714
2000-04-26,5.2632
2000-04-27,-5.0
2000-04-28,2.6316
2000-05-01,-2.5641
2000-05-02,-2.6316
2000-05-03,0.0
2000-05-04,5.4054
2000-05-05,2.5641
2000-05-08,0.0
2000-05-09,-2.5
2000-05-10,0.0
2000-05-11,1.2821
2000-05-12,1.2658
2000-05-15,1.25
2000-05-16,-1.2346
2000-05-17,-1.25
2000-05-18,1.2658
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,-5.0
2000-05-25,-2.6316
2000-05-26,-1.3514
2000-05-30,-1.3699
