ticker,MBST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-08-25,240.0
2009-08-26,-60.7843
2009-09-08,25.0
2009-09-10,0.0
2009-09-14,0.0
2009-09-16,22.0
2009-09-17,-24.918
2009-09-18,-12.6638
2009-09-21,-5.0
2009-09-22,0.0
2009-09-23,-21.0526
2009-09-24,0.0
2009-09-25,-6.6667
2009-09-28,-14.2857
2009-09-29,16.6667
2009-09-30,7.1429
2009-10-01,20.0
2009-10-02,0.0
2009-10-05,-22.2222
2009-10-06,-21.4286
2009-10-07,9.0909
2009-10-08,0.0
2009-10-09,-5.0
2009-10-12,-3.5088
2009-10-13,0.0
2009-10-14,18.1818
2009-10-15,-8.461500000000001
2009-10-16,0.8403
2009-10-19,0.0
2009-10-20,-25.0
2009-10-21,28.8889
2009-10-22,3.4483
2009-10-23,-25.0
2009-10-26,11.1111
2009-10-27,-10.0
2009-10-28,-11.1111
2009-10-29,25.0
2009-10-30,9.0
2009-11-02,-17.4312
2009-11-03,11.1111
2009-11-04,-10.0
2009-11-05,11.1111
2009-11-09,0.0
2009-11-10,10.0
2009-11-11,-9.0909
2009-11-12,-15.0
2009-11-13,0.0
2009-11-16,-5.8824
2009-11-17,0.0
2009-11-19,-12.5
2009-11-23,-14.2857
2009-11-24,0.0
2009-11-25,25.0
2009-11-30,6.6667
2009-12-01,-50.0
2009-12-07,25.0
2009-12-08,40.0
2009-12-09,14.2857
2009-12-10,0.0
2009-12-11,0.0
2009-12-14,-6.25
2009-12-16,-6.6667
2009-12-17,7.1429
2009-12-18,-6.6667
2009-12-21,0.0
2009-12-22,-2.8571
2009-12-24,-11.7647
2009-12-28,-25.0
2009-12-29,-4.4444
2009-12-30,-2.3256
2009-12-31,19.0476
2010-01-04,-16.0
2010-01-07,42.8571
2010-01-08,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,13.3333
2010-01-19,-11.7647
2010-01-20,6.6667
2010-01-21,-1.5625
2010-01-22,-14.2857
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-02-01,-22.2222
2010-02-02,-4.7619
2010-02-03,0.0
2010-02-05,22.5
2010-02-08,-2.0408
2010-02-10,-27.0833
2010-02-12,71.4286
2010-02-18,-32.5
2010-02-24,23.4568
2010-02-25,20.0
2010-03-03,0.0
2010-03-04,-16.6667
2010-03-05,-20.0
2010-03-08,25.0
2010-03-09,0.0
2010-03-10,0.0
2010-03-11,0.0
