ticker,SOAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-29,1.0309
2020-06-30,-1.0204
2020-07-01,1.5464
2020-07-02,0.7107
2020-07-06,0.504
2020-07-07,0.0
2020-07-08,-1.1023
2020-07-09,0.8103
2020-07-10,1.3068
2020-07-13,1.0934
2020-07-14,-0.7859
2020-07-15,-1.4851
2020-07-16,1.5074999999999998
2020-07-17,-1.0891
2020-07-20,0.2573
2020-07-21,0.642
2020-07-22,-0.2976
2020-07-23,0.796
2020-07-24,-0.2962
2020-07-27,0.396
2020-07-28,-0.9862
2020-07-29,-0.498
2020-07-30,-0.4004
2020-07-31,-0.9045
