ticker,TMSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-18,-40.0
2008-03-27,0.0
2008-03-28,33.3333
2008-03-31,-25.0
2008-04-01,33.3333
2008-04-24,-50.0
2008-04-25,100.0
2008-05-01,0.0
2008-05-07,-5.0
2008-05-12,-21.0526
2008-05-13,-31.3333
2008-05-16,74.7573
2008-05-21,-48.8889
2008-05-22,73.913
2008-06-02,-50.0
2008-06-04,-12.5
2008-06-05,42.8571
2008-06-17,-80.0
2008-06-18,100.0
2008-06-26,-75.0
2008-07-02,200.0
2008-07-10,-66.6667
2008-10-01,-40.0
2008-10-08,-16.6667
2009-11-03,2900.0
2009-11-05,-80.0
2009-11-17,0.0
2009-11-18,-6.6667
2010-04-27,7.1429
2010-05-26,-33.3333
2010-06-23,-89.375
2010-06-24,-29.4118
2010-06-28,-8.3333
2010-06-29,-50.0
2010-08-23,-9.0909
2010-09-23,0.0
2010-11-23,440.0
2010-12-01,-40.7407
2010-12-21,1393.75
2010-12-22,402.0921
2010-12-23,-23.3333
2010-12-27,-26.087
2010-12-28,129.4118
2010-12-29,1.5385
2010-12-30,177.7778
2010-12-31,16.1818
2011-01-03,-53.0712
2011-01-04,30.0542
2011-01-05,-30.7692
2011-01-06,-40.7407
2011-01-07,31.1719
2011-01-10,-16.617
2011-01-11,2.8571
2011-01-12,-5.5556
2011-01-13,-11.7647
2011-01-14,6.6667
2011-01-18,-12.5
2011-01-19,-7.1429
2011-01-20,-7.6923
2011-01-21,75.0
2011-01-24,-28.5714
2011-01-25,-20.0
2011-01-26,41.6667
2011-01-27,41.1765
2011-01-28,41.6667
2011-01-31,7.3529
2011-02-01,9.589
2011-02-02,-10.0
2011-02-03,-30.5556
2011-02-04,-4.0
2011-02-07,0.0
2011-02-08,25.0
2011-02-09,16.6667
2011-02-10,-17.4286
2011-02-11,-18.6851
2011-02-14,-6.383
2011-02-15,-4.5455
2011-02-16,0.0
2011-02-17,14.2857
2011-02-18,-12.5
2011-02-22,-9.5238
2011-02-23,0.0
2011-02-24,6.3158
2011-02-25,-3.4653
2011-02-28,-12.8205
2011-03-01,-26.4706
2011-03-02,-4.0
2011-03-03,24.5833
2011-03-04,-19.7324
2011-03-07,-16.9271
2011-03-08,-9.7179
2011-03-09,127.7778
2011-03-10,-14.6341
2011-03-11,25.7143
2011-03-14,-15.9091
2011-03-15,-2.7027
2011-03-16,2.7778
2011-03-17,-13.5135
2011-03-18,-0.625
2011-03-21,-30.8176
2011-03-22,9.0909
