ticker,HRTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.8850999999999996
2000-01-04,-0.6042
2000-01-05,-1.2158
2000-01-06,-1.2308
2000-01-07,1.5575999999999999
2000-01-10,3.0675
2000-01-11,-0.8929
2000-01-12,-1.2012
2000-01-13,13.3739
2000-01-14,7.2386
2000-01-18,1.0
2000-01-19,-2.4752
2000-01-20,-2.0305
2000-01-21,-3.3679
2000-01-24,-0.8043
2000-01-25,2.4324
2000-01-26,-0.5277
2000-01-27,-1.3263
2000-01-28,0.5376
2000-01-31,1.8717000000000001
2000-02-01,1.3123
2000-02-02,3.1088
2000-02-03,-0.5025
2000-02-04,-0.2525
2000-02-07,1.2658
2000-02-08,4.75
2000-02-09,-3.1026
2000-02-10,0.7389
2000-02-11,-3.423
2000-02-14,-1.2658
2000-02-15,0.7692
2000-02-16,-1.7812000000000001
2000-02-17,-1.2953000000000001
2000-02-18,-4.7244
2000-02-22,0.2755
2000-02-23,4.1209
2000-02-24,-4.4855
2000-02-25,-2.7624
2000-02-28,-0.1705
2000-02-29,-0.5698
2000-03-01,0.5731
2000-03-02,-1.4245
2000-03-03,1.1561
2000-03-06,-3.1429
2000-03-07,-0.59
2000-03-08,-1.1869
2000-03-09,-2.7027
2000-03-10,0.3086
2000-03-13,-1.8462
2000-03-14,0.627
2000-03-15,1.5575999999999999
2000-03-16,2.7607
2000-03-17,2.3881
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,-0.2915
2000-03-23,2.3392
2000-03-24,-1.1429
2000-03-27,-1.4451
2000-03-28,3.2258
2000-03-29,-0.2841
2000-03-30,2.2792
2000-03-31,1.1142
2000-04-03,-1.1019
2000-04-04,-3.6212
2000-04-05,0.0
2000-04-06,2.8902
2000-04-07,2.2472
2000-04-10,-0.5495
2000-04-11,1.9337
2000-04-12,1.355
2000-04-13,-0.8021
2000-04-14,-3.2345
2000-04-17,-2.2284
2000-04-18,3.9886
2000-04-19,-3.5616
2000-04-20,1.1364
2000-04-24,-1.9663
2000-04-25,2.8653
2000-04-26,5.2925
2000-04-27,1.5873
2000-04-28,3.125
2000-05-01,1.2626
2000-05-02,-0.9975
2000-05-03,-3.0227
2000-05-04,1.8182
2000-05-05,1.0204
2000-05-08,-1.2626
2000-05-09,0.2558
2000-05-10,-0.5102
2000-05-11,0.7692
2000-05-12,0.5089
2000-05-15,2.2785
2000-05-16,-2.7228
2000-05-17,4.5802
2000-05-18,-3.8929
2000-05-19,-1.2658
