ticker,VIVC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-20,400.0
2018-12-21,100.0
2018-12-26,100.0
2018-12-27,20.0
2018-12-28,-16.6667
2019-01-04,27.5
2019-01-07,11.7647
2019-01-08,14.0351
2019-01-10,1.5385
2019-01-14,-4.5455
2019-01-16,0.0
2019-01-24,-20.634900000000002
2019-02-05,-9.6
2019-02-11,10.6195
2019-02-15,18.8
2019-02-22,-30.9764
2019-02-26,-2.439
2019-02-28,12.5
2019-03-01,22.2222
2019-03-06,-2.5455
2019-03-07,-15.6716
2019-03-14,-11.5044
2019-03-26,12.5
2019-03-27,-11.1111
2019-03-28,-5.5
2019-03-29,0.0
2019-04-01,-17.9894
2019-04-03,9.6774
2019-04-04,0.0
2019-04-09,10.5882
2019-04-10,-39.3883
2019-04-17,0.9215
2019-06-11,56.5217
2019-06-14,13.8889
2019-06-20,0.0
2019-06-26,21.9512
2019-06-27,-18.0
2019-07-01,21.9512
2019-07-05,-26.0
2019-07-08,75.6757
2019-07-10,-20.0
2019-07-11,-3.0769
2019-07-12,4.1667
2019-07-25,21.9048
2019-07-30,9.375
2019-08-06,0.0
2019-08-23,8.5714
2019-08-26,-7.8947
2019-09-25,8.5714
2019-09-26,5.2632
2019-10-15,-10.0
2019-10-16,-1.3889
2019-10-17,-9.8592
2019-10-30,20.625
2019-11-20,23.057
2019-11-27,-24.2105
2019-12-02,30.5556
2019-12-03,6.383
2019-12-24,0.0
2019-12-31,19.0
2020-01-13,0.8403
2020-01-21,16.6667
2020-01-22,-14.2857
2020-01-29,33.3333
2020-01-30,25.0
2020-01-31,-10.0
2020-02-03,-32.6667
2020-02-07,30.6931
2020-02-12,-1.0101
2020-02-13,0.0
2020-02-24,37.7551
2020-02-25,-7.4074
2020-02-26,0.0
2020-03-13,17.2
2020-03-16,-48.8055
2020-03-20,0.0
2020-03-25,94.0
2020-03-26,-34.3643
2020-03-27,57.0681
2020-04-01,-3.3333
2020-04-03,-40.0
2020-04-06,69.5402
2020-04-07,1.6949
2020-04-21,0.0
2020-05-07,-1.6667
2020-05-28,-46.7797
2020-05-29,72.6115
2020-06-08,0.0
2020-06-11,-16.9742
2020-06-19,-0.4444
2020-07-10,0.0
2020-07-13,-33.0313
