ticker,TRMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.3738000000000001
2000-01-04,-3.5191
2000-01-05,-0.304
2000-01-06,0.0
2000-01-07,2.439
2000-01-10,-5.3571
2000-01-11,-2.5157
2000-01-12,-0.6452
2000-01-13,0.974
2000-01-14,-0.6431
2000-01-18,0.0
2000-01-19,-0.9709
2000-01-20,-3.9215999999999998
2000-01-21,3.0612
2000-01-24,-3.9604
2000-01-25,-1.7182
2000-01-26,1.049
2000-01-27,2.0761
2000-01-28,-2.0339
2000-01-31,0.0
2000-02-01,0.346
2000-02-02,0.6897
2000-02-03,0.0
2000-02-04,1.3699
2000-02-07,-0.3378
2000-02-08,-2.7119
2000-02-09,-0.3484
2000-02-10,-1.049
2000-02-11,0.3534
2000-02-14,-1.0563
2000-02-15,-0.3559
2000-02-16,-0.3571
2000-02-17,-3.2258
2000-02-18,-1.4815
2000-02-22,-1.1278
2000-02-23,-0.3802
2000-02-24,0.7634
2000-02-25,0.7576
2000-02-28,4.5113
2000-02-29,-1.8115999999999999
2000-03-01,-2.952
2000-03-02,-2.6616
2000-03-03,0.0
2000-03-06,-0.7813
2000-03-07,-1.1811
2000-03-08,0.3984
2000-03-09,1.1905000000000001
2000-03-10,-1.9607999999999999
2000-03-13,-2.0
2000-03-14,0.0
2000-03-15,6.1224
2000-03-16,9.2308
2000-03-17,-1.4085
2000-03-20,1.7856999999999998
2000-03-21,1.7544
2000-03-22,-0.6897
2000-03-23,0.0
2000-03-24,0.3472
2000-03-27,-3.1142
2000-03-28,14.2857
2000-03-29,-5.9375
2000-03-30,-0.6645
2000-03-31,8.0268
2000-04-03,-1.548
2000-04-04,-0.3145
2000-04-05,1.5773000000000001
2000-04-06,-1.4752
2000-04-07,-1.0244
2000-04-10,-5.0955
2000-04-11,1.3423
2000-04-12,1.3245
2000-04-13,-4.5752
2000-04-14,-1.0274
2000-04-17,-0.692
2000-04-18,3.1359
2000-04-19,0.6757
2000-04-20,-0.6711
2000-04-24,2.027
2000-04-25,-1.6556
2000-04-26,0.0
2000-04-27,1.0101
2000-04-28,-2.0
2000-05-01,-1.3605
2000-05-02,-0.6897
2000-05-03,0.6944
2000-05-04,-0.3448
2000-05-05,0.0
2000-05-08,-0.346
2000-05-09,0.6944
2000-05-10,-1.0345
2000-05-11,3.1359
2000-05-12,-2.027
2000-05-15,3.1034
2000-05-16,1.6722000000000001
2000-05-17,-3.2895
2000-05-18,0.3401
2000-05-19,0.0
2000-05-22,3.7288
