ticker,EKSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-17,4.2553
2014-01-21,8.1633
2014-01-22,0.0
2014-01-23,-10.566
2014-01-24,7.173
2014-01-27,2.3622
2014-01-28,-3.8462
2014-01-29,4.0
2014-01-30,-6.1538
2014-01-31,0.4098
2014-02-03,-4.0816
2014-02-04,2.1277
2014-02-05,4.1667
2014-02-06,17.6
2014-02-07,8.1633
2014-02-10,-5.6604
2014-02-11,-0.6667
2014-02-12,0.6711
2014-02-13,0.0
2014-02-14,-5.0
2014-02-18,5.2632
2014-02-19,10.0
2014-02-20,15.4545
2014-02-21,36.2205
2014-02-24,47.3988
2014-02-25,-22.0915
2014-02-26,7.3826
2014-02-27,1.5625
2014-02-28,-7.6923
2014-03-03,-11.5
2014-03-04,-3.0132
2014-03-05,4.8544
2014-03-06,6.8519
2014-03-07,-6.4125
2014-03-10,-4.0741
2014-03-11,-6.3707
2014-03-12,-6.3918
2014-03-13,-0.8811
2014-03-14,-1.7778
2014-03-17,0.6787
2014-03-18,11.9101
2014-03-19,-10.6426
2014-03-20,-4.4944
2014-03-21,-8.4706
2014-03-24,-8.2262
2014-03-25,-3.6414999999999997
2014-03-26,-4.9419
2014-03-27,0.9174
2014-03-28,0.0
2014-03-31,-3.3333
2014-04-01,1.5674000000000001
2014-04-02,-2.7778
2014-04-03,-1.5873
2014-04-04,-3.2258
2014-04-07,-10.0
2014-04-08,-3.7037
2014-04-09,-3.4615
2014-04-10,0.0
2014-04-11,-9.5618
2014-04-14,1.7621
2014-04-15,1.2987
2014-04-16,4.7009
2014-04-17,8.1633
2014-04-21,-4.5283
2014-04-22,5.9289
2014-04-23,4.4776
2014-04-24,25.0
2014-04-25,-11.4286
2014-04-28,-8.3871
2014-04-29,-1.4085
2014-04-30,1.7856999999999998
2014-05-01,-1.7544
2014-05-02,-2.5
2014-05-05,-3.2967
2014-05-06,7.197
2014-05-07,-7.4205
2014-05-08,-0.7634
2014-05-09,-4.2308
2014-05-12,-7.6305
2014-05-13,2.6087
2014-05-14,3.3898
2014-05-15,-0.4098
2014-05-16,-1.2346
2014-05-19,1.6667
2014-05-20,-5.7377
2014-05-21,-6.5217
2014-05-22,4.186
2014-05-23,0.0
2014-05-27,-1.7856999999999998
2014-05-28,4.5455
2014-05-29,1.3043
2014-05-30,11.588
2014-06-02,9.6154
2014-06-03,-1.7544
2014-06-04,-0.3571
2014-06-05,3.9427
2014-06-06,-1.7241
2014-06-09,0.0
2014-06-10,-5.2632
