ticker,OPXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-04,240.4027
2009-05-05,9.0909
2009-05-06,-13.3333
2009-05-07,23.0769
2009-05-08,40.625
2009-05-11,-33.3333
2009-05-12,20.0
2009-05-13,-19.4444
2009-05-14,31.0345
2009-05-15,-21.0526
2009-05-18,-6.6667
2009-05-19,10.7143
2009-05-22,-9.6774
2009-05-26,0.0
2009-05-29,-10.7143
2009-06-01,0.4
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,0.0
2009-06-10,0.0
2009-06-12,19.5219
2009-06-15,-6.6667
2009-06-17,-8.9286
2009-06-18,-5.8824
2009-06-19,16.6667
2009-06-22,-14.2857
2009-06-23,0.0
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,0.0
2009-06-29,-8.3333
2009-06-30,50.0
2009-07-01,6.0606
2009-07-02,22.8571
2009-07-06,2.3256
2009-07-07,-9.0909
2009-07-08,10.0
2009-07-09,2.2727
2009-07-10,1.1111
2009-07-13,-14.2857
2009-07-14,-5.1282
2009-07-15,-5.4054
2009-07-16,-14.2857
2009-07-17,0.0
2009-07-20,-6.3333
2009-07-21,3.2028
2009-07-22,-10.3448
2009-07-23,15.3846
2009-07-24,0.0
2009-07-27,-10.0
2009-07-28,0.0
2009-07-29,3.7037
2009-07-30,10.7143
2009-07-31,-3.5484
2009-08-03,0.3344
2009-08-04,-10.0
2009-08-05,11.1111
2009-08-06,0.0
2009-08-07,-10.0
2009-08-10,-3.7037
2009-08-11,15.336500000000001
2009-08-12,-9.9625
2009-08-13,3.7037
2009-08-14,-3.5714
2009-08-18,10.3704
2009-08-21,0.6711
2009-08-25,0.0
2009-08-31,-13.3333
2009-09-01,19.2308
2009-09-02,-3.2258
2009-09-04,6.6667
2009-09-08,6.25
2009-09-09,2.9412000000000003
2009-09-10,0.0
2009-09-11,11.4286
2009-09-14,11.538499999999999
2009-09-15,-14.9425
2009-09-16,2.7027
2009-09-17,0.0
2009-09-18,-5.2632
2009-09-21,0.0
2009-09-22,-5.5556
2009-09-23,0.0
2009-09-24,17.647100000000002
2009-09-25,-15.0
2009-09-28,5.8824
2009-09-29,16.6667
2009-09-30,-19.0476
2009-10-01,0.0
2009-10-02,-5.8824
2009-10-05,6.25
2009-10-06,17.647100000000002
2009-10-07,0.0
2009-10-08,-27.5
2009-10-09,3.4483
2009-10-12,31.6667
2009-10-13,17.7215
2009-10-14,-7.957
2009-10-15,-20.5607
2009-10-16,-5.8824
2009-10-19,14.0625
