ticker,SFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-12,-0.2538
2019-06-24,0.2545
2019-07-02,0.0
2019-07-09,-0.001
2019-07-23,0.001
2019-07-26,0.0
2019-08-08,1.0152
2019-08-14,-0.5025
2019-08-19,-0.202
2019-08-20,0.1012
2019-08-21,0.6067
2019-08-23,0.0
2019-09-03,0.0
2019-09-18,0.0
2019-09-25,0.1005
2019-10-01,-0.9036
2019-10-02,0.1013
2019-10-07,0.0
2019-10-11,0.0
2019-10-21,0.0
2019-10-24,0.4049
2019-10-25,0.0
2019-10-28,-0.1008
2019-10-30,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-12-12,0.9082
2019-12-16,0.0
2020-01-06,0.5
2020-01-07,0.2985
2020-01-08,-0.2976
2020-01-29,0.0995
2020-02-05,0.0994
2020-02-12,0.0993
2020-02-25,0.0992
2020-03-10,-0.3964
2020-03-11,0.0
2020-03-12,-0.597
2020-03-13,0.1001
2020-03-17,-2.0
2020-03-18,0.5571
2020-03-19,-0.5541
2020-03-23,0.5102
2020-03-24,0.9137
2020-03-25,0.1006
2020-03-26,0.5025
2020-03-27,0.4
2020-03-31,0.1992
2020-04-03,-0.497
2020-04-06,0.3996
2020-04-08,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-17,5.3731
2020-04-20,-4.9103
2020-04-27,0.1986
2020-04-30,-0.1982
2020-05-01,0.0
2020-05-06,0.0
2020-05-08,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-28,0.0
2020-06-02,0.0993
2020-06-03,0.1984
2020-06-04,0.395
2020-06-05,0.0996
2020-06-09,2.7586
2020-06-10,-0.3356
2020-06-12,-2.5493
2020-06-15,1.1846
2020-06-17,-0.4878
2020-06-18,0.3431
2020-06-19,7.4744
2020-06-22,13.6364
2020-06-23,0.0
2020-06-24,-3.2
2020-06-25,-5.3719
2020-06-26,0.8734
2020-06-29,17.2294
2020-06-30,-4.2836
2020-07-01,-2.9321
2020-07-02,-0.6359
2020-07-06,4.08
2020-07-07,-4.4581
2020-07-08,-2.0113
2020-07-09,-0.7389
2020-07-10,3.8048
2020-07-13,-2.7092
2020-07-14,-3.9312
2020-07-15,-0.8525
2020-07-16,-3.6973000000000003
2020-07-17,0.4464
2020-07-20,0.8889
2020-07-21,1.674
2020-07-22,0.9532
2020-07-23,-0.4292
2020-07-24,0.3448
2020-07-27,-4.1237
2020-07-28,0.0
2020-07-29,0.1792
2020-07-30,-2.2361
2020-07-31,-2.0128
