ticker,XYNO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-19,0.1022
2017-07-20,0.5107
2017-07-21,-0.3049
2017-07-27,-0.1019
2017-07-28,0.0
2017-07-31,0.2041
2017-08-04,0.0
2017-08-07,0.0
2017-08-10,-0.3055
2017-08-11,0.3075
2017-08-14,-0.2047
2017-08-16,0.4082
2017-08-17,-0.4065
2017-08-21,0.0
2017-08-24,0.0
2017-08-29,0.401
2017-09-07,-0.188
2017-09-11,-0.0081
2017-09-12,0.3055
2017-09-25,0.203
2017-09-26,0.0
2017-10-03,-0.2026
2017-10-04,0.1015
2017-10-05,0.0
2017-10-10,-0.001
2017-10-11,0.001
2017-10-16,-0.1014
2017-10-27,0.203
2017-10-30,-0.7092
2017-10-31,0.5102
2017-11-02,-0.1015
2017-11-06,1.0163
2017-11-07,-0.9054
2017-11-14,0.0
2017-11-16,-0.5096
2017-11-20,0.002
2017-11-21,0.102
2017-11-22,-0.0183
2017-11-28,-0.0836
2017-12-07,0.4082
2017-12-11,-0.4055
2017-12-13,0.4071
2017-12-14,0.1016
2017-12-18,0.0
2017-12-19,0.0
2017-12-27,0.203
2017-12-28,0.0
2018-01-02,-0.1976
2018-01-03,-0.0051
2018-01-04,0.0
2018-01-17,0.203
2018-01-19,-0.1023
2018-01-22,-0.1004
2018-01-26,0.203
2018-01-31,-0.001
2018-02-01,0.1023
2018-02-02,-0.2024
2018-02-07,0.1004
2018-02-09,-0.1013
2018-02-12,0.0
2018-02-13,-0.1004
2018-02-14,0.8122
2018-02-20,-0.3021
2018-02-26,0.0
2018-02-27,0.303
2018-03-01,0.3021
2018-03-02,-0.2008
2018-03-14,0.3018
2018-03-15,0.0
2018-03-19,-0.3009
2018-03-20,0.0
2018-03-26,0.0
2018-03-28,0.1006
2018-03-29,-0.1005
2018-04-02,0.3018
2018-04-03,-0.0993
2018-04-05,0.4006
2018-04-17,-0.5
2018-04-18,0.0
2018-04-20,0.1005
2018-04-23,0.2008
2018-04-24,0.0
2018-04-25,-0.1002
2018-04-26,0.2006
2018-05-02,0.1001
2018-05-07,-0.199
2018-05-08,0.7004
2018-05-09,-0.6965
2018-05-15,0.3006
2018-05-21,-0.0999
2018-05-29,0.5
2018-06-01,-0.6965
2018-06-07,0.0
2018-06-19,0.5511
2018-06-20,0.0498
2018-06-25,-0.001
2018-06-28,0.1006
2018-06-29,-0.2985
2018-07-06,-0.0998
2018-07-10,0.7992
2018-07-16,-0.3964
2018-07-17,-0.0995
