ticker,UTRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-27,-6.6667
2006-07-28,10.7143
2006-07-31,25.8065
2006-08-01,10.2564
2006-08-02,34.8837
2006-08-03,8.6207
2006-08-04,30.1587
2006-08-07,-12.1951
2006-08-08,-2.7778
2006-08-09,-7.1429
2006-08-10,-12.3077
2006-08-11,-21.0526
2006-08-14,31.1111
2006-08-15,-1.6949
2006-08-16,0.0
2006-08-17,0.0
2006-08-18,-6.8966
2006-08-21,-18.5185
2006-08-22,-20.4545
2006-08-23,5.7143
2006-08-24,-18.9189
2006-08-25,16.6667
2006-08-28,-2.8571
2006-08-29,14.7059
2006-08-30,-10.2564
2006-08-31,20.0
2006-09-01,4.7619
2006-09-05,6.8182
2006-09-06,0.0
2006-09-07,-10.6383
2006-09-08,-4.7619
2006-09-11,-25.0
2006-09-12,6.6667
2006-09-13,12.5
2006-09-14,0.0
2006-09-15,16.6667
2006-09-18,-23.8095
2006-09-19,6.25
2006-09-20,2.9412000000000003
2006-09-21,0.0
2006-09-22,-14.2857
2006-09-25,23.3333
2006-09-26,-16.2162
2006-09-27,-6.4516
2006-09-28,0.0
2006-09-29,1.7241
2006-10-02,-1.6949
2006-10-03,3.4483
2006-10-04,0.0
2006-10-05,3.3333
2006-10-06,12.9032
2006-10-09,-8.5714
2006-10-10,0.0
2006-10-11,9.375
2006-10-12,-20.0
2006-10-13,14.2857
2006-10-17,-12.5
2006-10-18,-3.5714
2006-10-19,3.7037
2006-10-23,-30.3571
2006-10-24,33.3333
2006-10-25,-7.6923
2006-10-26,-16.6667
2006-10-31,0.5
2006-11-01,14.4279
2006-11-03,4.3478
2006-11-06,-29.1667
2006-11-07,29.4118
2006-11-10,-22.7273
2006-11-13,-5.8824
2006-11-14,-6.25
2006-11-15,20.0
2006-11-16,-16.6667
2006-11-17,0.0
2006-11-20,40.0
2006-11-21,-9.5238
2006-11-22,-7.8947
2006-11-27,14.2857
2006-11-28,-15.0
2006-11-30,17.647100000000002
2006-12-01,-2.5
2006-12-04,-17.9487
2006-12-05,-3.125
2006-12-06,-3.2258
2006-12-07,13.3333
2006-12-11,-23.5294
2006-12-12,0.0
2006-12-14,0.0
2006-12-15,15.3846
2006-12-18,6.6667
2006-12-19,-25.0
2006-12-20,54.1667
2006-12-21,-13.5135
2006-12-26,-12.5
2006-12-27,3.5714
2006-12-28,10.3448
2006-12-29,18.75
2007-01-03,-10.526299999999999
2007-01-04,11.7647
2007-01-05,-10.526299999999999
