ticker,GNL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-03,-0.9657
2015-06-04,-1.6943000000000001
2015-06-05,2.3179
2015-06-08,-1.9397
2015-06-09,-0.7721
2015-06-10,-0.7761
2015-06-11,0.3352
2015-06-12,0.0
2015-06-15,-1.5590000000000002
2015-06-16,0.0
2015-06-17,2.3756
2015-06-18,2.6519
2015-06-19,-0.4306
2015-06-22,-1.4304000000000001
2015-06-23,-0.194
2015-06-24,1.0989
2015-06-25,0.4348
2015-06-26,-0.1082
2015-06-29,-2.8169
2015-06-30,-1.4493
2015-07-01,-0.2262
2015-07-02,-0.6803
2015-07-06,-2.2926
2015-07-07,0.9412
2015-07-08,-0.4662
2015-07-09,-3.2787
2015-07-10,4.9637
2015-07-13,-1.7301
2015-07-14,0.4695
2015-07-15,0.3505
2015-07-16,-1.7462
2015-07-17,-0.8294
2015-07-20,-1.4337
2015-07-21,-1.2121
2015-07-22,-0.4908
2015-07-23,-0.1233
2015-07-24,-0.1235
2015-07-27,1.2361
2015-07-28,0.4884
2015-07-29,3.2807
2015-07-30,-2.3529
2015-07-31,-1.6867
2015-08-03,0.4902
2015-08-04,1.0976
2015-08-05,-0.9751
2015-08-06,-0.2454
2015-08-07,0.246
2015-08-10,-1.5951
2015-08-11,-2.6185
2015-08-12,3.5850999999999997
2015-08-13,1.6069
2015-08-14,1.9465
2015-08-17,1.79
2015-08-18,1.7585
2015-08-19,0.576
2015-08-20,-0.5727
2015-08-21,-2.6498
2015-08-24,-4.3787
2015-08-25,0.2475
2015-08-26,2.0987999999999998
2015-08-27,2.5393
2015-08-28,3.4198
2015-08-31,-1.5964
2015-09-01,-1.1587
2015-09-02,-0.3517
2015-09-03,3.6372999999999998
2015-09-04,-1.3714
2015-09-08,1.3905
2015-09-09,-0.6857
2015-09-10,1.9563000000000001
2015-09-11,0.9029
2015-09-14,0.4474
2015-09-15,0.2227
2015-09-16,-2.2222
2015-09-17,-0.1136
2015-09-18,-1.3652
2015-09-21,3.3449
2015-09-22,-0.7813
2015-09-23,2.9246
2015-09-24,-0.2186
2015-09-25,-1.2048
2015-09-28,-1.5521
2015-09-29,2.1396
2015-09-30,1.4333
2015-10-01,-0.4348
2015-10-02,-0.2183
2015-10-05,-0.3282
2015-10-06,-0.3385
2015-10-07,1.4412
2015-10-08,-0.1093
2015-10-09,0.1094
2015-10-12,-1.7486000000000002
2015-10-13,0.2225
2015-10-14,0.444
2015-10-15,0.1105
2015-10-16,0.7726
