ticker,ODT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-07,-4.1667
2017-12-08,-1.4348
2017-12-11,2.5584
2017-12-12,1.2473
2017-12-13,-0.8071
2017-12-14,-1.4989
2017-12-15,0.0
2017-12-18,-1.2174
2017-12-19,0.0
2017-12-20,1.2324
2017-12-21,2.1739
2017-12-22,6.0426
2017-12-26,0.1605
2017-12-27,-2.0433
2017-12-28,2.045
2017-12-29,0.2004
2018-01-02,-1.08
2018-01-03,-2.4262
2018-01-04,0.2487
2018-01-05,-0.248
2018-01-08,-0.0414
2018-01-09,-1.9071
2018-01-10,0.1268
2018-01-11,-0.7598
2018-01-12,1.191
2018-01-16,-2.8583
2018-01-17,-1.0818
2018-01-18,-0.1312
2018-01-19,-2.3215
2018-01-22,-1.3901
2018-01-23,0.5002
2018-01-24,1.2217
2018-01-25,-1.5646
2018-01-26,-1.4986
2018-01-29,1.2909
2018-01-30,-3.1862
2018-01-31,-2.3037
2018-02-01,-5.4379
2018-02-02,-3.0025
2018-02-05,-3.7775
2018-02-06,-3.7622999999999998
2018-02-07,-5.4391
2018-02-08,-5.0929
2018-02-09,-2.5253
2018-02-12,14.2487
2018-02-13,2.3810000000000002
2018-02-14,16.2791
2018-02-15,8.2857
2018-02-16,9.7186
2018-02-20,6.1723
2018-02-21,5.3228
2018-02-22,0.5018
2018-02-23,0.4636
2018-02-26,-2.6624
2018-02-27,-1.5682
2018-02-28,0.0
2018-03-01,1.7043
2018-03-02,-0.8743
2018-03-05,13.9287
2018-03-06,-2.9032
2018-03-07,1.2957
2018-03-08,-2.9846
2018-03-09,-2.9412000000000003
2018-03-12,-0.418
2018-03-13,-0.8744
2018-03-14,-11.7149
2018-03-15,-2.2782
2018-03-16,-4.908
2018-03-19,3.2688
2018-03-20,-2.9154999999999998
2018-03-21,-0.3432
2018-03-22,-8.9109
2018-03-23,13.4688
2018-03-26,-7.1637
2018-03-27,5.3836
2018-03-28,-8.854800000000001
2018-03-29,-1.0743
2018-04-02,-3.3522
2018-04-03,4.5921
2018-04-04,-0.3737
2018-04-05,3.4693
2018-04-06,-5.0295
2018-04-09,0.0954
2018-04-10,5.8627
2018-04-11,-2.7465
2018-04-12,-2.3611
2018-04-13,2.6553
2018-04-16,-2.0323
2018-04-17,6.3178
2018-04-18,-3.2816
2018-04-19,-2.2008
2018-04-20,-3.2818
2018-04-23,0.2908
2018-04-24,1.885
2018-04-25,-0.9013
2018-04-26,3.686
2018-04-27,-0.6464
