ticker,CYBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-24,87.0625
2014-09-25,4.878
2014-09-26,-5.0653
2014-09-29,-8.0872
2014-09-30,16.8675
2014-10-01,-7.4664
2014-10-02,-3.1398
2014-10-03,5.8906
2014-10-06,-1.5142
2014-10-07,-1.9051
2014-10-08,0.1022
2014-10-09,-4.0163
2014-10-10,5.8156
2014-10-13,4.7252
2014-10-14,-5.28
2014-10-15,-2.8378
2014-10-16,2.3992
2014-10-17,2.8523
2014-10-20,-1.3536000000000001
2014-10-21,-1.3387
2014-10-22,-2.9851
2014-10-23,2.1329
2014-10-24,3.5262000000000002
2014-10-27,16.0053
2014-10-28,-7.8677
2014-10-29,8.0136
2014-10-30,-0.5729
2014-10-31,1.6421999999999999
2014-11-03,3.6848
2014-11-04,-0.1367
2014-11-05,-7.4733
2014-11-06,-2.2781000000000002
2014-11-07,-0.9688
2014-11-10,6.6341
2014-11-11,-2.8383000000000003
2014-11-12,-0.5606
2014-11-13,27.3591
2014-11-14,3.3784
2014-11-17,-2.0735
2014-11-18,-1.7952
2014-11-19,-0.6093
2014-11-20,0.5423
2014-11-21,0.3987
2014-11-24,9.8108
2014-11-25,-9.4023
2014-11-26,1.3383
2014-11-28,-4.2632
2014-12-01,-5.5179
2014-12-02,4.3801
2014-12-03,5.5706
2014-12-04,-5.6253
2014-12-05,1.2315
2014-12-08,-7.1776
2014-12-09,7.2346
2014-12-10,-4.351
2014-12-11,-3.2711
2014-12-12,0.3435
2014-12-15,-1.4218
2014-12-16,-0.4541
2014-12-17,3.6222
2014-12-18,5.2046
2014-12-19,3.2488
2014-12-22,1.7163
2014-12-23,-3.8903
2014-12-24,1.4386999999999999
2014-12-26,0.5529
2014-12-29,-1.4583
2014-12-30,-3.3236
2014-12-31,-0.5019
2015-01-02,-1.942
2015-01-05,0.4372
2015-01-06,-4.8656
2015-01-07,2.1534
2015-01-08,1.581
2015-01-09,-3.8651
2015-01-12,3.5348
2015-01-13,-2.3977
2015-01-14,0.8011
2015-01-15,-5.404
2015-01-16,2.6323
2015-01-20,0.5457
2015-01-21,-1.6961
2015-01-22,-0.2899
2015-01-23,2.4086
2015-01-26,-2.5141999999999998
2015-01-27,-0.721
2015-01-28,-3.2123
2015-01-29,-2.5108
2015-01-30,0.2664
2015-02-02,0.3838
2015-02-03,2.7353
2015-02-04,-2.5193
2015-02-05,8.1351
2015-02-06,0.679
2015-02-09,-2.6436
2015-02-10,13.3278
2015-02-11,2.176
