ticker,UEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-21,100.0
2006-02-22,-21.4286
2006-02-23,-27.2727
2006-02-24,0.0
2006-02-27,7.5
2006-02-28,-2.3256
2006-03-01,25.0
2006-03-02,-9.7143
2006-03-03,-3.481
2006-03-06,-1.6393
2006-03-07,-8.3333
2006-03-08,-16.3636
2006-03-09,0.0
2006-03-10,10.8696
2006-03-13,-1.9607999999999999
2006-03-14,-2.0
2006-03-15,-6.1224
2006-03-16,-8.6957
2006-03-17,-4.7619
2006-03-20,12.5
2006-03-21,0.0
2006-03-22,2.2222
2006-03-23,6.5217
2006-03-24,-8.1633
2006-03-27,0.0
2006-03-28,0.0
2006-03-29,11.1111
2006-03-30,-1.2
2006-03-31,-8.9069
2006-04-03,-2.2222
2006-04-04,0.0
2006-04-05,8.6364
2006-04-06,0.4184
2006-04-07,3.3333
2006-04-10,-7.2581
2006-04-11,-13.0435
2006-04-12,17.5
2006-04-13,2.1277
2006-04-17,4.1667
2006-04-18,10.0
2006-04-19,12.7273
2006-04-20,11.2903
2006-04-21,-0.8696
2006-04-24,14.0351
2006-04-25,6.4103
2006-04-26,-3.6145
2006-04-27,-5.0
2006-04-28,14.473700000000001
2006-05-01,1.1494
2006-05-02,-9.0909
2006-05-03,1.25
2006-05-04,2.4691
2006-05-05,16.6265
2006-05-08,-9.0909
2006-05-09,-6.8182
2006-05-10,-20.7317
2006-05-11,13.538499999999999
2006-05-12,1.626
2006-05-15,-2.6667
2006-05-16,-7.3972999999999995
2006-05-17,0.5917
2006-05-18,-13.2353
2006-05-19,-8.1356
2006-05-22,-11.4391
2006-05-23,8.3333
2006-05-24,-4.2308
2006-05-25,9.6386
2006-05-26,22.7106
2006-05-30,-2.9851
2006-05-31,5.8462
2006-06-01,-4.9419
2006-06-02,5.5046
2006-06-05,-5.2174
2006-06-06,-3.6696999999999997
2006-06-07,-11.1111
2006-06-08,-3.5714
2006-06-09,14.8148
2006-06-12,-1.6129
2006-06-13,-14.7541
2006-06-14,32.3077
2006-06-15,-1.1628
2006-06-16,-5.8824
2006-06-19,-21.875
2006-06-20,16.0
2006-06-21,0.0
2006-06-22,1.7241
2006-06-23,-5.0847
2006-06-26,7.1071
2006-06-27,-5.9687
2006-06-28,-2.8369
2006-06-29,3.2847
2006-06-30,0.7067
2006-07-03,1.0526
2006-07-05,-1.7361
2006-07-06,0.7067
2006-07-07,-5.2632
2006-07-10,-1.8519
2006-07-11,3.7736
2006-07-12,-0.7273
