ticker,EXTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.3952
2000-01-04,-1.1696
2000-01-05,-1.3314
2000-01-06,-2.8486000000000002
2000-01-07,-5.3241
2000-01-10,-0.8965
2000-01-11,2.6316
2000-01-12,-1.7628
2000-01-13,2.1207
2000-01-14,-2.0767
2000-01-18,1.7945
2000-01-19,0.1603
2000-01-20,20.0
2000-01-21,-5.2
2000-01-24,0.6329
2000-01-25,7.5472
2000-01-26,-3.3138
2000-01-27,-1.3441
2000-01-28,-4.7684
2000-01-31,-3.1474
2000-02-01,-1.4771
2000-02-02,-0.4498
2000-02-03,-2.8614
2000-02-04,1.938
2000-02-07,7.8327
2000-02-08,4.9365
2000-02-09,5.7124
2000-02-10,-0.9536
2000-02-11,-1.4121000000000001
2000-02-14,0.5208
2000-02-15,-2.785
2000-02-16,-3.2645
2000-02-17,0.9642
2000-02-18,-7.2306
2000-02-22,-1.1764999999999999
2000-02-23,2.0833
2000-02-24,7.1429
2000-02-25,6.2585
2000-02-28,-4.0493
2000-02-29,18.7656
2000-03-01,-2.9213
2000-03-02,4.6296
2000-03-03,5.3097
2000-03-06,-4.2017
2000-03-07,-7.8947
2000-03-08,8.0952
2000-03-09,1.3216
2000-03-10,-2.5543
2000-03-13,-4.5733
2000-03-14,1.8117999999999999
2000-03-15,-12.744
2000-03-16,4.0132
2000-03-17,7.5111
2000-03-20,-5.2066
2000-03-21,11.9628
2000-03-22,-2.439
2000-03-23,3.9773
2000-03-24,-5.3004999999999995
2000-03-27,-0.5193
2000-03-28,-0.6381
2000-03-29,-9.0485
2000-03-30,-15.7895
2000-03-31,-3.6585
2000-04-03,-13.844899999999999
2000-04-04,2.4793
2000-04-05,5.2867
2000-04-06,6.8936
2000-04-07,2.6273999999999997
2000-04-10,-4.5772
2000-04-11,-0.4878
2000-04-12,-7.1895
2000-04-13,-1.4085
2000-04-14,-16.3393
2000-04-17,-1.3874
2000-04-18,22.9437
2000-04-19,11.8838
2000-04-20,-18.0173
2000-04-24,-15.547
2000-04-25,8.0682
2000-04-26,-4.3113
2000-04-27,-5.9341
2000-04-28,7.7103
2000-05-01,3.6875999999999998
2000-05-02,-2.8243
2000-05-03,1.1841
2000-05-04,0.1064
2000-05-05,14.532399999999999
2000-05-08,-7.678
2000-05-09,-2.9146
2000-05-10,-15.528
2000-05-11,11.7647
2000-05-12,2.9605
2000-05-15,0.426
2000-05-16,6.6808
2000-05-17,-1.3917
2000-05-18,-6.8548
