ticker,CMTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.2373
2000-01-04,-1.626
2000-01-05,4.1322
2000-01-06,7.9365
2000-01-07,2.2059
2000-01-10,-4.3165
2000-01-11,-4.1353
2000-01-12,-2.7451
2000-01-13,-1.2097
2000-01-14,-0.4082
2000-01-18,13.1148
2000-01-19,-1.4493
2000-01-20,-0.3676
2000-01-21,-2.583
2000-01-24,-2.2727
2000-01-25,5.4264
2000-01-26,-1.8382
2000-01-27,2.2472
2000-01-28,-3.2967
2000-01-31,1.5152
2000-02-01,-4.8507
2000-02-02,3.5294
2000-02-03,0.0
2000-02-04,-4.5455
2000-02-07,-0.7937
2000-02-08,12.0
2000-02-09,6.4286
2000-02-10,7.047
2000-02-11,-5.9561
2000-02-14,0.6667
2000-02-15,0.6623
2000-02-16,-3.2895
2000-02-17,2.0408
2000-02-18,-6.3333
2000-02-22,6.4057
2000-02-23,-4.3478
2000-02-24,0.0
2000-02-25,3.8462
2000-02-28,13.1313
2000-02-29,7.1429
2000-03-01,7.2222
2000-03-02,2.0725
2000-03-03,-3.5533
2000-03-06,-7.3684
2000-03-07,-2.8409
2000-03-08,5.848
2000-03-09,5.5249
2000-03-10,-4.1885
2000-03-13,-14.7541
2000-03-14,1.2821
2000-03-15,-11.3924
2000-03-16,2.8571
2000-03-17,2.7778
2000-03-20,-3.5473
2000-03-21,-4.3783
2000-03-22,1.0989
2000-03-23,4.3478
2000-03-24,1.3889
2000-03-27,-3.0822
2000-03-28,0.3534
2000-03-29,-2.8169
2000-03-30,0.7246
2000-03-31,6.1151
2000-04-03,6.4407
2000-04-04,-12.7389
2000-04-05,0.0
2000-04-06,-2.9196999999999997
2000-04-07,1.1278
2000-04-10,-3.3457
2000-04-11,-4.2308
2000-04-12,-5.2209
2000-04-13,-5.0847
2000-04-14,-14.2857
2000-04-17,-1.0417
2000-04-18,1.0526
2000-04-19,1.0417
2000-04-20,-6.701
2000-04-24,6.0773
2000-04-25,2.6042
2000-04-26,-0.5076
2000-04-27,-1.5306
2000-04-28,0.0
2000-05-01,3.6269
2000-05-02,3.5
2000-05-03,-8.2126
2000-05-04,-0.5263
2000-05-05,1.5873
2000-05-08,1.0417
2000-05-09,-1.0309
2000-05-10,-3.6458
2000-05-11,1.6216
2000-05-12,3.1915
2000-05-15,0.0
2000-05-16,4.1237
2000-05-17,-2.9703
2000-05-18,1.0204
2000-05-19,-6.0606
2000-05-22,-3.7634
2000-05-23,1.6760000000000002
