ticker,RXMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-16,66.6667
2008-12-19,0.0
2008-12-22,100.0
2008-12-26,-10.0
2008-12-31,466.6667
2009-01-05,-1.9607999999999999
2009-01-06,-58.0
2009-01-07,0.0
2009-01-08,-23.8095
2009-01-12,-25.0
2009-01-15,0.0
2009-01-22,0.0
2009-01-23,0.0
2009-01-26,-33.3333
2009-02-02,0.0
2009-02-06,-25.0
2009-02-20,0.0
2009-03-03,0.0
2009-03-11,-16.6667
2009-03-17,140.0
2009-03-18,-8.3333
2009-03-23,-36.3636
2009-03-24,57.1429
2009-03-25,9.0909
2009-03-27,0.0
2009-03-30,0.0
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,-16.6667
2009-04-06,-25.0
2009-04-17,6.6667
2009-04-21,0.0
2009-05-04,0.0
2009-05-06,-12.5
2009-05-08,-14.2857
2009-05-13,0.0
2009-05-14,0.0
2009-06-22,0.0
2009-07-02,0.0
2009-07-15,0.0
2009-07-23,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-11,0.0
2009-08-27,0.0
2009-08-28,16.6667
2009-08-31,-28.5714
2009-10-26,140.0
2009-10-30,-16.6667
2009-11-13,0.0
2009-11-17,-10.0
2009-11-18,-11.1111
2009-11-30,0.0
2009-12-30,-37.5
2010-02-09,0.0
2010-03-09,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-04-14,80.0
2010-04-19,33.3333
2010-04-26,16.6667
2010-06-15,-7.1429
2010-08-27,-23.0769
2010-09-16,10.0
2010-10-13,0.0
2010-10-21,9.0909
2010-10-22,0.0
2010-10-25,-32.5
2010-10-26,109.8765
2010-10-28,-5.8824
2010-11-08,0.0
2010-11-09,0.0
2010-11-15,6.25
2010-11-16,0.0
2010-11-19,-5.8824
2010-12-08,-12.5
2010-12-09,0.0
2010-12-10,0.0
2010-12-14,0.0
2010-12-17,150.0
2010-12-28,-28.5714
2011-01-18,-16.0
2011-01-20,0.0
2011-01-26,4.7619
2011-02-16,13.6364
2011-03-01,-20.0
2011-03-02,50.0
2011-03-04,33.3333
2011-03-07,0.0
2011-03-11,27.5
2011-03-18,-15.6863
2011-03-21,-4.6512
2011-03-23,0.0
2011-03-25,24.3902
2011-03-28,-21.5686
2011-04-06,0.0
2011-04-12,0.0
2011-04-13,27.5
2011-04-21,-15.6863
2011-04-27,0.0
2011-05-03,-6.9767
2011-05-06,0.0
2011-05-10,7.5
2011-05-20,-6.9767
2011-05-23,0.0
