ticker,CNCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-12,5.2632
2017-01-13,20.0
2017-01-17,0.8333
2017-01-18,-9.0909
2017-01-19,18.1818
2017-01-20,1.5385
2017-01-23,14.3939
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,2.649
2017-01-27,0.6452
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,-0.641
2017-02-03,-0.6452
2017-02-06,-3.2468
2017-02-07,0.0
2017-02-08,-0.6711
2017-02-09,-13.5135
2017-02-15,-1.5625
2017-02-21,-4.7619
2017-03-01,-16.6667
2017-03-02,-1.0
2017-03-03,0.9975
2017-03-13,13.0141
2017-03-14,-46.9027
2017-03-15,-14.3021
2017-03-20,-22.2074
2017-03-21,-10.0
2017-03-22,19.4444
2017-03-23,41.8605
2017-03-27,-58.9959
2017-03-28,59.7451
2017-03-29,27.6396
2017-03-30,15.6863
2017-04-03,-11.8644
2017-04-04,37.488
2017-04-06,-7.5443999999999996
2017-04-11,-1.6641
2017-04-12,-19.2308
2017-04-13,23.0476
2017-04-25,-19.5046
2017-05-04,-5.1923
2017-05-09,-49.2647
2017-05-10,107.8961
2017-05-17,32.6923
2017-05-23,-63.75
2017-05-24,115.8921
2017-05-25,-53.6806
2017-05-26,34.3328
2017-06-09,-10.744
2017-06-12,-29.9433
2017-06-20,8.0485
2017-06-30,-51.4999
2017-07-10,0.0
2017-07-11,108.901
2017-07-12,-12.0235
2017-07-17,-45.6377
2017-07-20,-62.7273
2017-07-21,265.8537
2017-07-24,0.0
2017-07-31,-20.0
2017-08-01,108.3333
2017-08-02,76.0
2017-08-03,24.9773
2017-08-04,17.8396
2017-08-07,-2.0062
2017-08-11,-14.9606
2017-08-18,-14.8148
2017-08-21,-76.087
2017-08-22,236.3636
2017-08-24,-51.0784
2017-08-25,4.9721
2017-08-28,26.3091
2017-09-08,-25.9375
2017-09-11,2.166
2017-09-12,-5.2863
2017-09-13,68.6047
2017-09-14,-24.4828
2017-09-15,-8.6758
2017-09-18,-10.0
2017-09-19,-33.3333
2017-09-20,58.3333
2017-09-21,-5.2632
2017-09-22,5.5556
2017-09-25,-63.1579
2017-09-26,0.0
2017-09-27,99.8571
2017-09-28,-19.1565
2017-09-29,5.924
2017-10-02,-9.606
2017-10-03,-7.9803
2017-10-04,-46.011
2017-10-05,79.9257
2017-10-06,13.6364
2017-10-09,-61.9091
2017-10-10,122.4344
2017-10-11,0.0
2017-10-12,-6.309
2017-10-13,0.0115
