ticker,ASTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,0.0
2000-01-18,0.0
2000-01-24,0.0
2000-02-07,0.0
2000-02-09,33.3333
2000-02-14,12.5
2000-02-17,-16.6667
2000-02-22,-20.0
2000-02-24,0.0
2000-03-08,0.0
2000-03-29,0.0
2000-04-07,25.0
2000-04-12,-24.5333
2000-04-20,-11.6608
2000-06-27,20.0
2000-07-27,-6.6667
2000-07-31,0.0
2000-08-02,-7.1429
2000-08-15,0.0
2000-09-08,7.6923
2000-09-14,-7.1429
2000-09-22,0.0
2000-09-29,0.0
2000-10-10,0.0
2000-10-25,0.0
2000-10-26,7.6923
2000-10-27,7.1429
2000-11-20,6.6667
2000-11-21,0.0
2000-12-26,0.0
2001-01-09,17.1875
2001-01-22,-8.8
2001-01-29,16.9591
2001-01-31,-5.0
2001-02-06,-1.3158
2001-03-13,-0.2667
2001-06-01,4.2781
2001-06-04,0.0
2001-07-02,2.5641
2001-07-05,-30.0
2001-07-12,-0.7143
2001-07-13,-35.2518
2001-07-16,66.6667
2001-07-24,0.0
2001-07-27,0.0
2001-07-31,3.3333
2001-08-15,0.0
2001-09-06,-3.2258
2001-09-21,0.0
2001-12-03,0.0
2001-12-26,0.0
2001-12-28,-16.6667
2002-01-22,8.0
2002-02-11,0.0
2002-02-19,0.0
2002-03-22,0.0
2002-04-04,0.0
2002-04-17,0.0
2002-04-18,0.0
2002-05-16,0.0
2002-05-31,0.0
2002-06-28,-55.5556
2002-07-03,100.0
2002-07-08,-8.3333
2002-07-12,0.0
2002-07-15,9.0909
2002-07-16,0.0
2002-07-26,-8.3333
2002-08-27,13.6364
2002-08-30,4.0
2002-09-19,11.538499999999999
2002-09-27,3.4483
2002-10-11,33.3333
2002-11-20,-20.0
2002-12-31,6.25
2003-01-02,0.0
2003-02-10,8.8235
2003-02-18,8.1081
2003-03-10,-7.5
2003-03-26,8.1081
2003-05-22,-7.5
2003-05-23,0.0
2003-06-18,16.2162
2003-06-25,4.6512
2003-07-22,-17.7778
2003-08-13,8.1081
2003-08-28,-5.0
2003-09-18,0.0
2003-11-26,13.1579
2003-12-01,-4.6512
2003-12-12,0.0
2003-12-19,9.7561
2003-12-26,-4.4444
2004-04-12,6.9767
2004-04-26,8.6957
2004-05-10,340.0
2004-05-12,-54.5455
2004-06-04,-60.0
2004-08-19,7.5
2004-12-16,3.2558
2005-01-28,-0.9009
2005-02-10,0.0
2005-02-25,0.0
2005-03-17,0.0
2005-03-28,0.0
