ticker,RBCAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.7299
2000-01-04,0.7353
2000-01-05,4.7445
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,3.1359
2000-01-11,-6.7568
2000-01-12,4.3478
2000-01-13,-0.6944
2000-01-14,-2.7972
2000-01-18,3.5971
2000-01-19,2.7778
2000-01-20,6.0811
2000-01-21,-0.6369
2000-01-24,0.0
2000-01-25,-6.891
2000-01-26,-0.8606
2000-01-27,-1.3889
2000-01-28,-1.4085
2000-01-31,-1.4285999999999999
2000-02-01,-4.3478
2000-02-02,9.0909
2000-02-03,-2.7778
2000-02-04,3.5714
2000-02-07,-2.069
2000-02-08,0.3521
2000-02-09,1.7544
2000-02-10,-0.6897
2000-02-11,-1.7361
2000-02-14,-1.0601
2000-02-15,2.8571
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-1.3889
2000-02-23,-2.8169
2000-02-24,1.4493
2000-02-25,0.0
2000-02-28,-1.4285999999999999
2000-02-29,0.0
2000-03-01,-2.8986
2000-03-02,2.2388
2000-03-03,-2.5547
2000-03-06,2.6217
2000-03-07,-2.5547
2000-03-08,-0.3745
2000-03-09,-1.5038
2000-03-10,-1.5267
2000-03-13,2.3256
2000-03-14,0.7576
2000-03-15,3.0075
2000-03-16,0.7299
2000-03-17,1.4493
2000-03-20,-3.8771
2000-03-21,-2.2388
2000-03-22,-3.8167999999999997
2000-03-23,1.5873
2000-03-24,0.7812
2000-03-27,2.3256
2000-03-28,-3.0303
2000-03-29,1.5625
2000-03-30,-1.5385
2000-03-31,1.5625
2000-04-03,-1.5385
2000-04-04,1.5625
2000-04-05,4.6154
2000-04-06,-1.4706000000000001
2000-04-07,-1.4925
2000-04-10,-1.5152
2000-04-11,-1.5385
2000-04-12,0.0
2000-04-13,-4.6875
2000-04-14,1.6393
2000-04-17,-1.6129
2000-04-18,4.918
2000-04-19,-1.5625
2000-04-20,-1.5873
2000-04-24,-1.6129
2000-04-25,1.6393
2000-04-26,-2.4194
2000-04-27,0.0
2000-04-28,3.9256
2000-05-01,-4.5725999999999996
2000-05-02,-1.6667
2000-05-03,-1.2711999999999999
2000-05-04,-1.2876
2000-05-05,-3.4783
2000-05-08,0.9009
2000-05-09,-3.5714
2000-05-10,0.9259
2000-05-11,2.2936
2000-05-12,-0.4484
2000-05-15,-6.3063
2000-05-16,3.8462
2000-05-17,0.0
2000-05-18,3.7037
2000-05-19,-0.6696
2000-05-22,-0.6742
