ticker,PBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-13,0.9615
2012-12-14,2.9333
2012-12-17,3.775
2012-12-18,-0.6063
2012-12-19,-0.9688
2012-12-20,0.8333
2012-12-21,0.3234
2012-12-24,-0.1074
2012-12-26,0.6095
2012-12-27,0.8553
2012-12-28,-1.7314
2012-12-31,4.4588
2013-01-02,1.0327
2013-01-03,-3.5775
2013-01-04,-0.8127
2013-01-07,-2.0306
2013-01-08,-0.5455
2013-01-09,0.4388
2013-01-10,0.3276
2013-01-11,2.0319
2013-01-14,-0.3556
2013-01-15,2.6767
2013-01-16,1.5293999999999999
2013-01-17,0.7189
2013-01-18,-3.1271
2013-01-22,1.9298
2013-01-23,-0.3787
2013-01-24,1.8314
2013-01-25,1.6288
2013-01-28,6.4775
2013-01-29,3.4807
2013-01-30,0.6061
2013-01-31,0.6024
2013-02-01,-0.2994
2013-02-04,0.961
2013-02-05,6.8412
2013-02-06,-0.1114
2013-02-07,1.3099
2013-02-08,6.63
2013-02-11,-1.5222
2013-02-12,-1.0217
2013-02-13,2.0381
2013-02-14,-0.1297
2013-02-15,-0.1818
2013-02-19,0.7026
2013-02-20,-1.1628
2013-02-21,-0.2092
2013-02-22,5.2397
2013-02-25,-2.0911
2013-02-26,1.7035
2013-02-27,1.7
2013-02-28,2.6303
2013-03-01,-0.2395
2013-03-04,1.5236
2013-03-05,-1.7389000000000001
2013-03-06,-2.3273
2013-03-07,-0.7446
2013-03-08,-1.3503
2013-03-11,-3.9544
2013-03-12,3.0879
2013-03-13,-3.3538
2013-03-14,0.8212
2013-03-15,4.309
2013-03-18,-0.2771
2013-03-19,1.0356
2013-03-20,2.975
2013-03-21,-2.4035
2013-03-22,1.4179
2013-03-25,-3.1886
2013-03-26,-1.3681
2013-03-27,-3.4164
2013-03-28,-1.1436
2013-04-01,-0.6995
2013-04-02,-1.8423
2013-04-03,-8.0596
2013-04-04,2.1915
2013-04-05,-0.0588
2013-04-08,-1.5873
2013-04-09,1.583
2013-04-10,1.1761
2013-04-11,-6.2772
2013-04-12,-2.6357
2013-04-15,-3.1847
2013-04-16,2.7632
2013-04-17,-5.8579
2013-04-18,-1.0541
2013-04-19,2.9210000000000003
2013-04-22,4.6077
2013-04-23,0.2234
2013-04-24,0.9554
2013-04-25,1.0726
2013-04-26,-0.9988
2013-04-29,1.6709
2013-04-30,-5.5814
2013-05-01,-3.2841
2013-05-02,-5.8065
2013-05-03,2.7037
2013-05-06,4.7034
2013-05-07,5.5984
