ticker,EYES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-19,121.8889
2014-11-20,18.1773
2014-11-21,-10.4237
2014-11-24,-7.5213
2014-11-25,-8.3887
2014-11-26,-3.4059
2014-11-28,-11.4451
2014-12-01,-10.5744
2014-12-02,14.5985
2014-12-03,-6.3057
2014-12-04,-4.4188
2014-12-05,0.2845
2014-12-08,4.539
2014-12-09,4.8847000000000005
2014-12-10,-3.3635
2014-12-11,-2.7443
2014-12-12,4.8864
2014-12-15,-7.4147
2014-12-16,-2.4805
2014-12-17,-3.9971
2014-12-18,-4.7691
2014-12-19,-11.0493
2014-12-22,-5.2726
2014-12-23,-4.2453
2014-12-24,8.4729
2014-12-26,1.4532
2014-12-29,-4.9239
2014-12-30,1.3183
2014-12-31,-4.6468
2015-01-02,-1.0721
2015-01-05,1.7734
2015-01-06,9.4869
2015-01-07,-5.0398
2015-01-08,2.0484
2015-01-09,-1.0949
2015-01-12,8.3948
2015-01-13,-7.3191
2015-01-14,-1.8365
2015-01-15,-3.6483
2015-01-16,1.2621
2015-01-20,-2.1093
2015-01-21,-6.954
2015-01-22,-2.9474
2015-01-23,-6.5076
2015-01-26,3.7123
2015-01-27,7.047
2015-01-28,-0.7315
2015-01-29,-2.3158
2015-01-30,-5.3879
2015-02-02,-3.9863
2015-02-03,6.8802
2015-02-04,0.9989
2015-02-05,7.8022
2015-02-06,0.0
2015-02-09,-3.0581
2015-02-10,-2.6288
2015-02-11,-1.1879
2015-02-12,-0.1093
2015-02-13,-2.0788
2015-02-17,-1.4525000000000001
2015-02-18,-1.1338
2015-02-19,1.8349
2015-02-20,-1.464
2015-02-23,-3.0857
2015-02-24,32.0755
2015-02-25,24.1071
2015-02-26,-15.1079
2015-02-27,37.0339
2015-03-02,-6.9882
2015-03-03,-1.9282
2015-03-04,1.0847
2015-03-05,14.4869
2015-03-06,2.1675
2015-03-09,-2.8096
2015-03-10,1.6519
2015-03-11,-7.3709
2015-03-12,-12.4687
2015-03-13,2.219
2015-03-16,-10.7143
2015-03-17,5.8039
2015-03-18,-3.5582000000000003
2015-03-19,4.2275
2015-03-20,0.8112
2015-03-23,-2.5604
2015-03-24,2.4775
2015-03-25,-4.1026
2015-03-26,-3.3613
2015-03-27,4.5059000000000005
2015-03-30,-1.059
2015-03-31,-1.9878
2015-04-01,-2.5741
2015-04-02,-2.8022
2015-04-06,-4.2834
2015-04-07,8.6059
2015-04-08,10.935
2015-04-09,-4.5
2015-04-10,0.7479
