ticker,ASCS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-24,1.1966
2010-11-30,0.6757
2010-12-16,-1.0067
2011-01-10,5.0847
2011-01-11,0.0
2011-01-12,0.0
2011-01-25,3.2258
2011-02-18,1.5625
2011-02-22,1.5385
2011-02-23,0.0
2011-03-03,0.0
2011-03-10,0.0
2011-03-14,0.0
2011-03-22,0.0
2011-03-23,1.5152
2011-03-25,-1.4925
2011-03-28,3.6364
2011-04-13,0.8772
2011-04-25,1.4493
2011-09-26,0.0
2011-10-10,4.2857
2011-10-25,0.0
2011-11-21,8.2192
2011-12-27,-5.0633
2012-01-17,1.3333
2012-01-23,0.0
2012-01-24,-1.3158
2012-01-26,0.0
2012-01-31,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-16,0.6667
2012-09-07,11.2583
2012-09-18,2.3810000000000002
2012-09-21,2.3256
2012-09-24,0.0
2012-10-09,-2.2727
2012-10-10,0.0
2012-10-23,-1.1628
2012-11-08,-3.5294
2012-11-13,2.439
2013-01-03,-8.3333
2013-01-04,0.0
2013-01-08,0.0
2013-01-14,0.0
2013-02-07,0.0
2013-02-22,0.0
2013-02-26,0.0
2013-02-28,-1.2987
2013-03-20,-2.6316
2013-04-01,-5.4054
2013-04-02,4.2857
2013-04-11,-9.589
2013-04-12,12.1212
2013-04-23,0.0
2013-05-03,-21.6216
2013-10-02,-31.0345
2013-10-23,0.0
2013-11-01,-12.5
2013-11-14,0.0
2013-12-10,-20.0
2013-12-11,-10.7143
2013-12-12,-4.0
2013-12-16,12.5
2013-12-20,-1.4815
2013-12-30,12.782
2014-01-03,-13.3333
2014-01-09,-3.8462
2014-01-10,6.0
2014-01-13,-9.434
2014-01-14,2.5
2014-01-21,-2.3577
2014-01-31,16.5695
2014-02-03,-2.8571
2014-02-05,0.0
2014-02-07,-4.4118
2014-02-24,5.7692
2014-03-07,-1.8182
2014-03-24,6.2963000000000005
2014-03-25,4.5296
2014-03-28,0.0
2014-04-11,6.6667
2014-04-15,0.0
2014-04-17,0.0
2014-04-22,0.0
2014-05-12,0.0
2014-05-21,-0.625
2014-10-27,25.7862
2014-11-06,7.5
2014-11-19,23.2558
2014-11-21,-3.7736
2014-11-24,-1.9607999999999999
2014-12-03,-1.0
2014-12-30,-3.0303
2015-01-05,4.1667
2015-01-14,-8.0
2015-01-22,9.3478
2015-01-28,7.3559
2015-01-30,-0.3704
2015-02-05,0.3717
2015-02-17,-3.7037
2015-02-18,3.8462
2015-02-23,-0.5556
