ticker,BANC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-23,18.5833
2002-08-26,0.9136
2002-08-27,0.2786
2002-08-28,0.4167
2002-08-29,0.8299
2002-08-30,1.166
2002-09-03,-1.6949
2002-09-04,0.0
2002-09-05,0.2069
2002-09-06,0.0
2002-09-09,-0.3441
2002-09-10,0.0
2002-09-11,0.1381
2002-09-12,-0.2759
2002-09-13,-0.4149
2002-09-16,-0.7361
2002-09-17,0.042
2002-09-18,0.5594
2002-09-19,-1.3213
2002-09-20,0.4228
2002-09-23,-1.186
2002-09-24,0.9871
2002-09-25,-0.9142
2002-09-26,0.0
2002-09-27,-0.9936
2002-09-30,0.9319
2002-10-01,0.4261
2002-10-02,-0.9194
2002-10-03,0.7852
2002-10-04,-0.1416
2002-10-08,-0.1418
2002-10-09,-2.1946
2002-10-10,0.2106
2002-10-11,0.8696
2002-10-14,-1.1494
2002-10-15,2.8343
2002-10-16,0.2827
2002-10-17,-0.2819
2002-10-18,-0.4947
2002-10-21,1.9176
2002-10-22,0.3484
2002-10-23,1.1806
2002-10-24,0.0755
2002-10-25,0.1303
2002-10-28,1.3699
2002-10-29,1.3580999999999999
2002-10-30,3.6598
2002-10-31,-0.2572
2002-11-01,-0.3933
2002-11-04,-0.7703
2002-11-05,0.7828
2002-11-06,-0.3236
2002-11-07,-1.6234
2002-11-08,0.0
2002-11-11,0.0
2002-11-12,-1.4521
2002-11-13,1.7415
2002-11-14,0.395
2002-11-15,0.3279
2002-11-18,0.0654
2002-11-19,-0.5879
2002-11-20,1.774
2002-11-21,0.0
2002-11-22,-0.581
2002-11-25,0.4545
2002-11-26,-0.4525
2002-11-27,0.4545
2002-11-29,0.1228
2002-12-02,-0.0904
2002-12-03,0.42
2002-12-04,-0.8366
2002-12-05,0.3894
2002-12-06,0.5818
2002-12-09,-0.3856
2002-12-10,-0.5161
2002-12-11,0.0
2002-12-13,0.5188
2002-12-16,-0.3226
2002-12-17,0.3883
2002-12-19,0.3224
2002-12-20,3.4704
2002-12-23,1.9876
2002-12-24,2.9233000000000002
2002-12-26,0.6509
2002-12-27,-0.9406
2002-12-30,-0.1187
2002-12-31,-0.0594
2003-01-02,0.0
2003-01-03,-2.3781
2003-01-06,0.1827
2003-01-07,-0.3647
2003-01-08,-0.061
2003-01-09,0.0
2003-01-10,-0.1221
2003-01-13,-0.6112
2003-01-15,0.738
2003-01-16,0.0
2003-01-17,-0.6105
2003-01-21,-2.1499
2003-01-22,-1.7577
