ticker,CBDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-11,1200.0
2005-05-12,-23.0769
2005-05-17,-14.0
2005-05-18,27.907
2005-05-19,-8.1818
2005-05-20,0.0
2005-05-27,-0.9901
2005-06-01,20.0
2005-06-02,0.0
2005-06-15,3.3333
2005-06-24,-35.4839
2005-07-20,25.0
2005-07-21,0.0
2005-07-25,-24.0
2005-08-17,-10.526299999999999
2005-08-31,35.2941
2005-09-07,0.0
2005-10-14,13.0435
2005-10-20,92.3077
2005-10-26,-40.0
2005-10-27,-20.0
2005-11-08,-16.6667
2005-11-16,25.0
2005-12-01,0.0
2005-12-05,-32.0
2005-12-06,23.5294
2005-12-09,-4.7619
2005-12-27,-15.0
2005-12-30,11.7647
2006-01-06,5.2632
2006-01-23,-5.0
2006-01-24,10.4605
2006-01-25,-6.1346
2006-01-26,1.5228000000000002
2006-02-02,-20.0
2006-02-06,0.0
2006-02-08,18.75
2006-02-09,5.2632
2006-02-10,0.0
2006-02-13,0.0
2006-02-14,-20.0
2006-02-22,0.0
2006-03-02,-11.25
2006-03-03,-1.4085
2006-03-06,0.0
2006-03-08,0.0
2006-03-09,0.0
2006-03-13,0.0
2006-03-14,0.0
2006-03-15,-21.4286
2006-03-22,-9.0909
2006-03-24,20.0
2006-03-27,-16.6667
2006-04-04,-20.0
2006-04-13,-43.75
2006-04-17,11.1111
2006-04-18,-10.0
2006-04-27,33.3333
2006-05-03,0.0
2006-05-24,0.0
2006-06-02,-8.3333
2006-06-05,-18.1818
2006-06-07,0.0
2006-06-19,-22.2222
2006-07-24,42.8571
2006-07-31,60.0
2006-08-01,12.5
2006-08-03,11.1111
2006-08-04,0.0
2006-08-07,0.0
2006-08-14,20.0
2006-08-21,0.0
2006-08-23,-16.6667
2006-10-18,0.0
2006-10-26,-50.0
2006-11-03,100.0
2006-11-06,30.0
2006-11-07,7.6923
2006-11-15,-14.2857
2006-11-20,0.0
2006-12-07,25.0
2006-12-27,0.0
2007-01-31,0.0
2007-04-05,-66.6667
2007-04-11,20.0
2007-04-20,-16.6667
2007-05-14,0.0
2007-05-18,-60.0
2007-06-06,200.0
2007-06-07,66.6667
2007-06-19,40.0
2007-06-27,-64.2857
2007-06-28,0.0
2007-07-13,0.0
2007-10-05,180.0
2007-10-16,7.1429
2007-10-17,13.3333
2007-10-18,-35.2941
2007-10-19,0.0
2007-10-22,-45.4545
2007-11-09,0.0
2007-12-11,66.6667
2007-12-12,-40.0
2007-12-20,0.0
