ticker,MOMO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-11,26.0741
2014-12-12,-10.9871
2014-12-15,-4.5545
2014-12-16,-3.7344
2014-12-17,-4.5259
2014-12-18,3.5365
2014-12-19,-8.7209
2014-12-22,-13.7739
2014-12-23,10.526299999999999
2014-12-24,0.5013
2014-12-26,-4.1563
2014-12-29,0.0
2014-12-30,2.9488
2014-12-31,1.0952
2015-01-02,6.4167
2015-01-05,2.5059
2015-01-06,-7.1047
2015-01-07,0.7401
2015-01-08,-1.3878
2015-01-09,-0.0828
2015-01-12,-0.8285
2015-01-13,-9.9415
2015-01-14,-0.4638
2015-01-15,3.6347
2015-01-16,-1.5288
2015-01-20,-0.3653
2015-01-21,2.6581
2015-01-22,-3.4821
2015-01-23,-2.9602
2015-01-26,-1.5253
2015-01-27,-3.001
2015-01-28,2.5948
2015-01-29,-3.3074
2015-01-30,-1.006
2015-02-02,-0.2033
2015-02-03,3.7678000000000003
2015-02-04,5.103
2015-02-05,-2.1475
2015-02-06,-1.3836
2015-02-09,0.4354
2015-02-10,-1.0597
2015-02-11,-0.1947
2015-02-12,12.0976
2015-02-13,-4.0905
2015-02-17,1.8149
2015-02-18,-0.0891
2015-02-19,-0.5352
2015-02-20,3.1390000000000002
2015-02-23,0.0
2015-02-24,6.6957
2015-02-25,2.0375
2015-02-26,0.0
2015-02-27,-9.6645
2015-03-02,6.1008
2015-03-03,1.5
2015-03-04,3.0378
2015-03-05,-11.6335
2015-03-06,-0.541
2015-03-09,-0.9066
2015-03-10,-4.4831
2015-03-11,1.7241
2015-03-12,-3.2015000000000002
2015-03-13,-2.5292
2015-03-16,2.7944
2015-03-17,-2.9126
2015-03-18,0.1
2015-03-19,0.0999
2015-03-20,3.8922
2015-03-23,-0.0961
2015-03-24,0.3846
2015-03-25,-1.4368
2015-03-26,2.2352
2015-03-27,1.7109999999999999
2015-03-30,-1.8692
2015-03-31,0.9524
2015-04-01,-0.0943
2015-04-02,-0.7554
2015-04-06,3.235
2015-04-07,-3.2258
2015-04-08,6.381
2015-04-09,7.0725
2015-04-10,-3.6789
2015-04-13,-2.7778
2015-04-14,1.875
2015-04-15,-3.681
2015-04-16,2.4568
2015-04-17,-3.0195
2015-04-20,0.641
2015-04-21,0.091
2015-04-22,1.8182
2015-04-23,1.6964000000000001
2015-04-24,8.9552
2015-04-27,-3.8678
2015-04-28,-1.9279
2015-04-29,-2.906
2015-04-30,-2.7289
2015-05-01,1.086
2015-05-04,0.8057
