ticker,ENZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.8646
2000-01-04,-5.1429
2000-01-05,-0.9036
2000-01-06,3.1915
2000-01-07,6.7747
2000-01-10,10.069
2000-01-11,-0.2506
2000-01-12,-2.0101
2000-01-13,-4.1026
2000-01-14,2.6738
2000-01-18,-0.5208
2000-01-19,-1.8325
2000-01-20,2.0
2000-01-21,5.8824
2000-01-24,1.7284000000000002
2000-01-25,-0.8495
2000-01-26,12.3623
2000-01-27,-7.6253
2000-01-28,-1.2972000000000001
2000-01-31,-3.3453
2000-02-01,5.9333
2000-02-02,9.6849
2000-02-03,5.7447
2000-02-04,-3.2193
2000-02-07,3.9501
2000-02-08,-2.0
2000-02-09,-12.0408
2000-02-10,2.0882
2000-02-11,-5.5682
2000-02-14,-11.9134
2000-02-15,-12.2951
2000-02-16,10.9034
2000-02-17,15.8708
2000-02-18,-0.3636
2000-02-22,6.8126999999999995
2000-02-23,2.5057
2000-02-24,-1.7778
2000-02-25,2.0362
2000-02-28,0.1109
2000-02-29,2.7685
2000-03-01,21.1207
2000-03-02,0.3559
2000-03-03,-2.305
2000-03-06,0.9074
2000-03-07,-10.6115
2000-03-08,2.6157
2000-03-09,4.3137
2000-03-10,-0.094
2000-03-13,-8.1844
2000-03-14,-17.418
2000-03-15,-8.4367
2000-03-16,-1.897
2000-03-17,3.8674
2000-03-20,-5.3191
2000-03-21,2.3876
2000-03-22,7.5446
2000-03-23,-1.0204
2000-03-24,1.8041
2000-03-27,-4.0506
2000-03-28,-10.1583
2000-03-29,-3.8179
2000-03-30,-5.9542
2000-03-31,-2.1104
2000-04-03,2.9851
2000-04-04,1.1272
2000-04-05,14.6497
2000-04-06,5.0
2000-04-07,0.7937
2000-04-10,-3.6745
2000-04-11,-8.1744
2000-04-12,-6.8248999999999995
2000-04-13,4.1401
2000-04-14,-16.8578
2000-04-17,-2.8966
2000-04-18,-2.6515
2000-04-19,-13.2296
2000-04-20,-0.8969
2000-04-24,10.6335
2000-04-25,2.863
2000-04-26,-0.1988
2000-04-27,-0.996
2000-04-28,19.9195
2000-05-01,5.2013
2000-05-02,-16.1085
2000-05-03,-6.654
2000-05-04,13.2383
2000-05-05,2.8777
2000-05-08,-7.6923
2000-05-09,-8.1913
2000-05-10,-5.9309
2000-05-11,0.8772
2000-05-12,9.3478
2000-05-15,4.9702
2000-05-16,3.0303
2000-05-17,1.2868
2000-05-18,-2.9038
2000-05-19,-7.2897
2000-05-22,-4.0323
