ticker,ALGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-08,39.4444
2006-12-11,4.7809
2006-12-12,-0.8745
2006-12-13,2.9919000000000002
2006-12-14,3.6872
2006-12-15,-0.6825
2006-12-18,-0.3617
2006-12-19,-3.8475
2006-12-20,2.3028
2006-12-21,1.7343
2006-12-22,-1.2332
2006-12-26,1.065
2006-12-27,1.4535
2006-12-28,-0.0716
2006-12-29,0.5735
2007-01-03,-1.0335
2007-01-04,0.0
2007-01-05,-0.072
2007-01-08,-2.7748
2007-01-09,0.0371
2007-01-10,-0.0741
2007-01-11,1.4461
2007-01-12,3.2529
2007-01-16,4.708
2007-01-17,1.4199
2007-01-18,0.6333
2007-01-19,-2.2524
2007-01-22,0.5422
2007-01-23,4.9204
2007-01-24,3.8231
2007-01-25,-1.052
2007-01-26,0.0625
2007-01-29,-0.4688
2007-01-30,2.3234
2007-01-31,2.0252
2007-02-01,2.406
2007-02-02,2.6138
2007-02-05,0.7441
2007-02-06,-3.3239
2007-02-07,0.1172
2007-02-08,-1.8194
2007-02-09,-0.568
2007-02-12,-1.0222
2007-02-13,-0.6379
2007-02-14,0.8866
2007-02-15,-0.4848
2007-02-16,5.877
2007-02-20,2.0132
2007-02-21,-1.3251
2007-02-22,-1.4571
2007-02-23,-2.8704
2007-02-26,3.403
2007-02-27,-4.8788
2007-02-28,4.5827
2007-03-01,-0.058
2007-03-02,-1.4228
2007-03-05,0.3829
2007-03-06,-4.4308
2007-03-07,3.1624
2007-03-08,0.4464
2007-03-09,-3.8815
2007-03-12,-3.8224
2007-03-13,-0.609
2007-03-14,0.1935
2007-03-15,2.9932
2007-03-16,-1.0937999999999999
2007-03-19,0.0
2007-03-20,5.3712
2007-03-21,-0.5097
2007-03-22,1.2658
2007-03-23,-1.8155000000000001
2007-03-26,-0.6366
2007-03-27,-2.3795
2007-03-28,-2.3438
2007-03-29,0.704
2007-03-30,0.0953
2007-04-02,0.4762
2007-04-03,3.4755
2007-04-04,-3.542
2007-04-05,1.4245
2007-04-09,-0.0936
2007-04-10,0.5936
2007-04-11,0.528
2007-04-12,0.4943
2007-04-13,1.6293
2007-04-16,-1.0587
2007-04-17,-1.9872
2007-04-18,-0.0312
2007-04-19,0.6552
2007-04-20,-1.1779
2007-04-23,1.3174000000000001
2007-04-24,4.9226
2007-04-25,-1.9180000000000001
2007-04-26,-1.444
2007-04-27,-2.3199
2007-04-30,0.2813
2007-05-01,8.7255
2007-05-02,-0.5446
2007-05-03,-1.5274
