ticker,MBRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-02,33.3333
2016-06-03,11.25
2016-06-06,0.0
2016-06-07,-6.7416
2016-06-08,0.8434
2016-06-09,-3.4648
2016-06-10,-9.2822
2016-06-13,-12.8922
2016-06-14,-2.2709
2016-06-15,4.6474
2016-06-16,0.6126
2016-06-17,1.6743000000000001
2016-06-20,-3.0689
2016-06-21,6.2548
2016-06-22,-2.6163
2016-06-23,4.3284
2016-06-24,-2.1459
2016-06-27,-1.462
2016-06-28,0.2967
2016-06-29,-1.7732999999999999
2016-06-30,-0.1525
2016-07-01,6.1086
2016-07-05,-2.6297
2016-07-06,-3.5036
2016-07-07,2.2693
2016-07-08,0.4438
2016-07-11,2.2091
2016-07-12,-0.4323
2016-07-13,0.4342
2016-07-14,-1.7290999999999999
2016-07-15,0.7038
2016-07-18,0.4368
2016-07-19,-4.1751
2016-07-20,-1.6641
2016-07-21,-1.3846
2016-07-22,1.4041000000000001
2016-07-25,4.6154
2016-07-26,2.2059
2016-07-27,1.0072
2016-07-28,-0.9972
2016-07-29,0.4317
2016-08-01,0.4298
2016-08-02,-1.5692
2016-08-03,-3.1884
2016-08-04,-0.5988
2016-08-05,-1.2199
2016-08-08,-0.6203
2016-08-09,-4.1163
2016-08-10,-0.48
2016-08-11,3.3762
2016-08-12,-2.4883
2016-08-15,-0.319
2016-08-16,-1.28
2016-08-17,-1.4586999999999999
2016-08-18,-4.2763
2016-08-19,0.5155
2016-08-22,7.5214
2016-08-23,1.5897999999999999
2016-08-24,-5.7883
2016-08-25,0.6624
2016-08-26,-0.9901
2016-08-29,1.0
2016-08-30,-0.8251
2016-08-31,3.1614
2016-09-01,1.7742
2016-09-02,0.7924
2016-09-06,2.2013
2016-09-07,2.3077
2016-09-08,1.3534
2016-09-09,-2.3739
2016-09-12,-2.7356
2016-09-13,-0.1563
2016-09-14,-2.8169
2016-09-15,2.8986
2016-09-16,-4.3818
2016-09-19,-2.455
2016-09-20,-2.8523
2016-09-21,5.6995000000000005
2016-09-22,-2.6144
2016-09-23,-4.1946
2016-09-26,-3.6756
2016-09-27,8.543
2016-09-28,-1.5913
2016-09-29,3.6596
2016-09-30,-6.2397
2016-10-03,3.3275
2016-10-04,-4.4068
2016-10-05,2.6297
2016-10-06,-11.7187
2016-10-07,-3.7182
2016-10-10,-9.9593
2016-10-11,-4.2889
2016-10-12,-3.7736
2016-10-13,-2.2059
2016-10-14,-21.3064
2016-10-17,-8.9136
2016-10-18,-15.7343
