ticker,WBAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-22,53.9231
2013-11-25,1.4993
2013-11-26,-1.3786
2013-11-27,3.8442
2013-11-29,-2.7885
2013-12-02,2.1761
2013-12-03,-2.0813
2013-12-04,-0.1977
2013-12-05,0.842
2013-12-06,19.499
2013-12-09,8.508
2013-12-10,-0.7955
2013-12-11,-5.0783
2013-12-12,9.292
2013-12-13,16.1943
2013-12-16,-11.9417
2013-12-17,-1.9784000000000002
2013-12-18,4.0
2013-12-19,0.9174
2013-12-20,4.6503
2013-12-23,3.7755
2013-12-24,8.0167
2013-12-26,3.0999
2013-12-27,0.7228
2013-12-30,7.6349
2013-12-31,-5.68
2014-01-02,5.2021
2014-01-03,-4.8643
2014-01-06,-1.5253999999999999
2014-01-07,-2.3236
2014-01-08,2.4082
2014-01-09,-4.0436
2014-01-10,-2.2116
2014-01-13,4.6455
2014-01-14,8.5864
2014-01-15,12.6681
2014-01-16,-8.212
2014-01-17,5.9298
2014-01-21,6.9236
2014-01-22,1.8829
2014-01-23,-10.435
2014-01-24,-4.9069
2014-01-27,-7.6211
2014-01-28,17.4449
2014-01-29,-2.878
2014-01-30,3.8172
2014-01-31,1.2941
2014-02-03,-5.5283999999999995
2014-02-04,-2.73
2014-02-05,-3.9241
2014-02-06,3.1106
2014-02-07,4.1448
2014-02-10,2.7708
2014-02-11,-0.7108
2014-02-12,3.6781
2014-02-13,-0.381
2014-02-14,-0.3824
2014-02-18,7.8934999999999995
2014-02-19,2.8463000000000003
2014-02-20,1.6216
2014-02-21,2.1277
2014-02-24,-4.6458
2014-02-25,-4.3041
2014-02-26,4.9543
2014-02-27,1.1312
2014-02-28,-4.7107
2014-03-03,3.5666
2014-03-04,-0.7193
2014-03-05,2.0856
2014-03-06,10.4731
2014-03-07,-3.6403
2014-03-10,-4.6263
2014-03-11,-5.0837
2014-03-12,-4.3963
2014-03-13,-4.2951
2014-03-14,1.0488
2014-03-17,-2.1965
2014-03-18,7.9961
2014-03-19,1.5539
2014-03-20,-4.6805
2014-03-21,2.8801
2014-03-24,-4.704
2014-03-25,-1.5892
2014-03-26,-7.4627
2014-03-27,-8.3025
2014-03-28,6.4014
2014-03-31,0.0
2014-04-01,6.3957
2014-04-02,1.9102999999999999
2014-04-03,-4.7488
2014-04-04,-3.2537
2014-04-07,-6.1568
2014-04-08,8.9595
2014-04-09,-2.6525
2014-04-10,-7.1117
2014-04-11,-0.9387
2014-04-14,3.9088000000000003
2014-04-15,2.2229
