ticker,HSDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-03,4.3388
2014-07-07,0.7175
2014-07-08,1.6641
2014-07-09,-5.368
2014-07-10,1.1065
2014-07-11,1.5298
2014-07-14,-1.6042999999999998
2014-07-15,-0.5378
2014-07-16,2.4532
2014-07-17,-2.2278000000000002
2014-07-18,-0.6392
2014-07-21,6.4135
2014-07-22,-4.5572
2014-07-23,-1.2782
2014-07-24,0.1141
2014-07-25,0.1253
2014-07-28,3.8378
2014-07-30,-0.0521
2014-08-05,3.3854
2014-08-08,-2.8503
2014-08-11,-1.9705
2014-08-12,-2.0714
2014-08-13,4.6227
2014-08-14,0.0
2014-08-15,-0.7337
2014-08-19,0.7391
2014-08-20,-2.1739
2014-08-25,1.4722
2014-08-26,-0.5311
2014-08-27,1.2770000000000001
2014-08-28,0.0
2014-08-29,0.4348
2014-09-02,3.4199
2014-09-03,0.5782
2014-09-04,1.6309
2014-09-05,-0.0486
2014-09-08,-0.53
2014-09-09,1.1996
2014-09-10,-3.5358
2014-09-11,1.4503
2014-09-12,-1.9209
2014-09-15,-0.6493
2014-09-16,0.112
2014-09-17,0.6128
2014-09-18,-0.3734
2014-09-19,-0.0771
2014-09-22,-0.5693
2014-09-23,-7.2346
2014-09-24,0.2826
2014-09-25,1.2367
2014-09-26,-0.5085
2014-09-29,-6.7131
2014-09-30,5.2954
2014-10-01,-0.4651
2014-10-02,0.9346
2014-10-03,-2.5463
2014-10-06,2.2328
2014-10-07,-4.2751
2014-10-08,-1.4806
2014-10-09,1.9956
2014-10-10,1.4493
2014-10-13,2.3810000000000002
2014-10-14,-3.2965
2014-10-15,-8.3419
2014-10-16,5.4737
2014-10-17,2.7052
2014-10-20,2.6945
2014-10-22,13.2075
2014-10-23,-0.026
2014-10-24,2.9435000000000002
2014-10-27,-2.8796
2014-10-28,1.7143000000000002
2014-10-29,-1.1629
2014-10-31,-3.96
2014-11-04,-0.6692
2014-11-05,0.8422
2014-11-06,0.3879
2014-11-10,8.6303
2014-11-11,0.0
2014-11-12,-1.9763
2014-11-13,1.4113
2014-11-14,2.08
2014-11-17,0.2605
2014-11-18,2.5446999999999997
2014-11-19,-2.9977
2014-11-20,-4.3109
2014-11-24,6.1224
2014-11-26,-1.9231
2014-11-28,-3.5294
2014-12-01,1.4634
2014-12-02,0.1603
2014-12-03,-0.8
2014-12-04,0.9022
2014-12-05,2.3028
2014-12-08,-0.3906
2014-12-09,0.2206
2014-12-10,0.0416
2014-12-11,-0.7236
