ticker,VREX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-23,-4.0853
2017-01-24,1.1111
2017-01-25,1.6484
2017-01-26,-3.8198
2017-01-27,-4.7958
2017-01-30,7.32
2017-01-31,5.4272
2017-02-01,5.7391
2017-02-02,-0.4934
2017-02-03,1.157
2017-02-06,-0.0654
2017-02-07,-1.9294
2017-02-08,-0.5002
2017-02-09,1.4075
2017-02-10,-0.3635
2017-02-13,-1.7247
2017-02-14,1.1137
2017-02-15,-0.1001
2017-02-16,3.8423
2017-02-17,5.148
2017-02-21,1.6218
2017-02-22,0.3011
2017-02-23,2.1915
2017-02-24,1.9683000000000002
2017-02-27,1.2388
2017-02-28,-0.9106
2017-03-01,-0.6318
2017-03-02,-2.6301
2017-03-03,-1.6028
2017-03-06,-0.8446
2017-03-07,0.0608
2017-03-08,-2.7668
2017-03-09,1.1257
2017-03-10,-2.0408
2017-03-13,0.2525
2017-03-14,-2.4874
2017-03-15,-0.0969
2017-03-16,-1.0019
2017-03-17,-0.1306
2017-03-20,1.0788
2017-03-21,-1.8435000000000001
2017-03-22,1.2191
2017-03-23,1.2044
2017-03-24,-0.2573
2017-03-27,1.4834
2017-03-28,1.8112
2017-03-29,1.9663
2017-03-30,2.0508
2017-03-31,0.7798
2017-04-03,-1.1905000000000001
2017-04-04,-0.2108
2017-04-05,-1.0866
2017-04-06,1.0375
2017-04-07,-0.6645
2017-04-10,2.6148
2017-04-11,-1.6593
2017-04-12,0.3917
2017-04-13,1.5606
2017-04-17,0.4728
2017-04-18,1.9118
2017-04-19,2.5685000000000002
2017-04-20,1.4069
2017-04-21,-2.5805
2017-04-24,-1.2532
2017-04-25,-1.9325
2017-04-26,-0.4706
2017-04-27,-0.4137
2017-04-28,-0.4154
2017-05-01,1.4601
2017-05-02,-0.4993
2017-05-03,-0.5903
2017-05-04,-1.2767
2017-05-05,1.9548999999999999
2017-05-08,-0.6195
2017-05-09,1.1873
2017-05-10,-0.2933
2017-05-11,1.471
2017-05-12,-0.2609
2017-05-15,0.4651
2017-05-16,-0.1447
2017-05-17,0.1449
2017-05-18,-0.5208
2017-05-19,-0.4654
2017-05-22,-1.0228
2017-05-23,-2.5686
2017-05-24,1.303
2017-05-25,2.0939
2017-05-26,2.2854
2017-05-30,-0.2292
2017-05-31,-1.3780999999999999
2017-06-01,0.3202
2017-06-02,0.6965
2017-06-05,-1.1527
2017-06-06,-2.2449
2017-06-07,-1.0438
2017-06-08,2.8632
2017-06-09,-2.2561
