ticker,RHI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1882
2000-01-04,-5.3690999999999995
2000-01-05,-1.8913
2000-01-06,0.0
2000-01-07,1.9277
2000-01-10,0.7092
2000-01-11,-1.1737
2000-01-12,-0.2375
2000-01-13,-0.2381
2000-01-14,-1.9093
2000-01-18,-1.2165
2000-01-19,2.2167
2000-01-20,-1.6867
2000-01-21,0.2451
2000-01-24,5.1345
2000-01-25,4.186
2000-01-26,35.9375
2000-01-27,6.5681
2000-01-28,-1.3867
2000-01-31,-3.4375
2000-02-01,3.5599
2000-02-02,-1.875
2000-02-03,2.8662
2000-02-04,-1.0836
2000-02-07,2.9734
2000-02-08,5.0152
2000-02-09,5.9334
2000-02-10,-2.0492
2000-02-11,-1.8131
2000-02-14,-1.5625
2000-02-15,1.1544
2000-02-16,0.7133
2000-02-17,-1.1331
2000-02-18,-2.7221
2000-02-22,-4.5655
2000-02-23,0.7716
2000-02-24,1.6844999999999999
2000-02-25,0.0
2000-02-28,-2.4096
2000-02-29,4.321
2000-03-01,3.5503
2000-03-02,-2.5714
2000-03-03,-2.6393
2000-03-06,-0.3012
2000-03-07,-1.0574
2000-03-08,-5.4962
2000-03-09,2.9079
2000-03-10,0.6279
2000-03-13,-3.7441
2000-03-14,2.107
2000-03-15,3.9683
2000-03-16,-0.6107
2000-03-17,-0.768
2000-03-20,-3.5604
2000-03-21,-2.2472
2000-03-22,2.1346
2000-03-23,1.1254
2000-03-24,-2.2258
2000-03-27,2.9268
2000-03-28,-0.158
2000-03-29,3.3228
2000-03-30,7.3507
2000-03-31,8.2472
2000-04-03,-0.5025
2000-04-04,-1.1921
2000-04-05,1.6086
2000-04-06,1.847
2000-04-07,2.5907
2000-04-10,1.2626
2000-04-11,-0.2494
2000-04-12,-0.375
2000-04-13,-2.2585
2000-04-14,-3.8510999999999997
2000-04-17,4.8064
2000-04-18,-0.3822
2000-04-19,17.2634
2000-04-20,0.2181
2000-04-24,-3.8085
2000-04-25,5.6561
2000-04-26,-1.4989
2000-04-27,2.2826
2000-04-28,3.932
2000-05-01,2.863
2000-05-02,-3.9760999999999997
2000-05-03,-3.8302
2000-05-04,5.0592
2000-05-05,0.9221
2000-05-08,0.4061
2000-05-09,-0.5056
2000-05-10,-2.5407
2000-05-11,1.147
2000-05-12,2.1649
2000-05-15,-0.3027
2000-05-16,1.8218999999999999
2000-05-17,-3.3797
2000-05-18,-1.1317
2000-05-19,-1.6649
2000-05-22,-2.2222
