ticker,ALRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-19,-3.5954
2000-02-11,0.4831
2000-02-14,-2.8846
2000-02-16,0.0
2000-02-17,0.0
2000-02-24,2.9703
2000-02-29,-2.8846
2000-03-13,0.0
2000-03-17,10.8911
2000-03-24,0.6109
2000-03-28,0.0
2000-03-30,-8.9286
2000-04-13,4.902
2000-05-01,-0.9346
2000-06-02,-5.6604
2000-06-06,0.0
2000-06-15,-4.0
2000-06-26,-7.6794
2000-06-27,-18.1818
2000-06-30,0.0
2000-08-16,19.4444
2000-08-18,-2.3256
2000-09-07,0.0
2000-09-27,-3.9385
2000-10-19,4.375
2000-11-10,-4.1916
2000-11-13,0.0
2000-11-21,-3.75
2000-11-29,-0.6494
2000-11-30,-0.6536
2000-12-14,0.0
2000-12-18,0.0
2000-12-26,1.8597000000000001
2000-12-27,-8.711500000000001
2000-12-29,8.5714
2001-01-02,0.0
2001-01-03,-2.6316
2001-01-05,-1.3514
2001-01-08,-1.3699
2001-01-09,4.8611
2001-01-11,0.0
2001-01-12,-5.9603
2001-01-22,2.8169
2001-01-24,1.3699
2001-01-25,0.0
2001-01-30,5.4054
2001-02-06,-2.5641
2001-02-07,0.0
2001-02-14,0.0
2001-03-06,0.0
2001-03-14,-2.6316
2001-03-16,1.3514
2001-03-22,2.3707
2001-04-09,-3.2632
2001-04-10,3.3731999999999998
2001-06-08,1.3158
2001-06-11,-2.5974
2001-06-12,2.6667
2001-06-29,0.9969
2001-07-27,0.987
2001-08-20,0.3086
2001-08-22,0.0
2001-09-05,2.5641
2001-10-08,1.0101
2001-10-18,10.0
2001-10-22,0.0
2001-10-23,0.0
2001-11-02,18.1818
2001-11-05,0.0
2001-11-13,-1.9231
2001-12-05,-3.9215999999999998
2002-01-09,2.8807
2002-01-29,-4.0
2002-01-31,0.7083
2002-02-01,3.434
2002-02-14,0.0
2002-02-25,-1.0
2002-04-25,1.8745
2002-04-26,1.0
2002-04-30,-2.9703
2002-07-01,1.0704
2002-07-02,2.8513
2002-07-03,-0.9901
2002-07-09,26.0
2002-07-10,15.0794
2002-07-11,13.1034
2002-07-24,-24.3902
2002-07-25,-12.9032
2002-08-07,-3.7037
2002-08-08,3.8462
2002-08-09,0.0
2002-08-14,10.1852
2002-08-22,-3.0252
2002-09-19,3.9861
2002-10-15,-5.1377
2002-10-17,-3.5398
2002-10-21,4.5872
2002-10-29,0.0
2002-11-08,-1.7544
2002-11-11,0.0
2002-11-21,0.0
