ticker,MCTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-27,11.1111
2005-01-28,0.0
2005-08-30,25.0
2005-10-12,0.0
2006-03-28,-72.0
2006-04-17,3.5714
2006-05-16,-17.2414
2006-05-30,0.0
2006-10-02,-45.8333
2006-10-05,84.6154
2006-10-23,-37.5
2007-04-26,-57.3333
2007-04-27,25.0
2007-07-16,-22.5
2007-07-24,93.5484
2007-07-27,-50.0
2007-08-09,33.3333
2007-10-19,12.5
2007-10-30,-11.1111
2007-11-06,0.0
2007-11-07,-10.0
2007-11-15,25.0
2007-11-21,-13.3333
2007-11-26,-2.5641
2007-11-28,-5.2632
2007-11-29,0.0
2007-12-04,0.0
2007-12-06,0.0
2007-12-07,0.0
2007-12-12,-5.5556
2007-12-14,-23.5294
2007-12-18,23.0769
2007-12-19,6.25
2007-12-20,-2.9412000000000003
2007-12-27,-6.0606
2008-01-03,0.0
2008-01-08,25.8065
2008-01-10,-12.8205
2008-01-11,-11.7647
2008-01-14,40.0
2008-01-16,-4.7619
2008-01-17,0.0
2008-01-18,12.5
2008-01-22,2.2222
2008-01-24,4.3478
2008-01-25,-16.6667
2008-01-28,10.0
2008-01-29,-9.0909
2008-01-30,10.0
2008-02-04,-9.0909
2008-02-05,0.0
2008-02-06,-5.0
2008-02-07,5.2632
2008-02-13,10.0
2008-02-15,0.0
2008-02-20,-6.8182
2008-02-27,7.3171
2008-02-29,-9.0909
2008-03-04,0.0
2008-03-05,0.0
2008-04-04,35.0
2008-04-07,0.0
2008-04-30,14.8148
2008-05-01,-9.6774
2008-05-21,0.0
2008-05-22,0.0
2008-06-02,8.9286
2008-06-09,-1.6393
2008-06-16,-6.6667
2008-06-17,7.1429
2008-07-15,-3.3333
2008-07-18,-17.2414
2008-07-24,18.75
2008-07-30,-18.2456
2008-08-01,-46.3519
2008-08-05,20.0
2008-08-06,6.6667
2008-08-08,62.5
2008-08-15,0.0
2008-08-22,3.8462
2008-08-25,-4.0741
2008-08-29,-1.5444
2008-09-09,-15.6863
2008-09-10,4.6512
2008-09-30,0.0
2008-10-03,-2.2222
2008-10-09,-52.2727
2008-10-10,109.5238
2008-11-12,-50.0
2008-11-14,4.5455
2008-11-17,-4.3478
2008-11-19,7.2727
2008-11-20,-14.4068
2008-11-25,18.8119
2008-11-26,91.6667
2008-12-02,8.6957
2008-12-04,-30.0
2008-12-08,5.7143
2008-12-30,-24.3243
2009-01-02,24.2857
2009-01-05,-20.1149
2009-01-06,-13.6691
