ticker,STOK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-19,42.0556
2019-06-20,1.6817
2019-06-21,4.9615
2019-06-24,-6.4492
2019-06-25,1.8018
2019-06-26,1.616
2019-06-27,9.2768
2019-06-28,1.0742
2019-07-01,-1.0285
2019-07-02,-0.9699
2019-07-03,-1.5390000000000001
2019-07-05,-0.5329
2019-07-08,-2.5357
2019-07-09,-2.3452
2019-07-10,0.2251
2019-07-11,4.2681000000000004
2019-07-12,-3.1239
2019-07-15,-2.8169
2019-07-16,0.6102
2019-07-17,-6.8992
2019-07-18,-2.7279999999999998
2019-07-19,-1.8418
2019-07-22,-1.919
2019-07-23,10.8696
2019-07-24,-1.6863000000000001
2019-07-25,-7.2996
2019-07-26,2.7969
2019-07-29,-1.0046
2019-07-30,3.0444
2019-07-31,1.1078999999999999
2019-08-01,4.099
2019-08-02,2.729
2019-08-05,-3.9469
2019-08-06,4.5041
2019-08-07,1.5123
2019-08-08,4.2086
2019-08-09,2.8592
2019-08-12,-2.05
2019-08-13,6.4207
2019-08-14,0.9
2019-08-15,-0.892
2019-08-16,2.9
2019-08-19,2.3648
2019-08-20,3.2595
2019-08-21,-2.1759
2019-08-22,0.0313
2019-08-23,-0.3445
2019-08-26,10.088
2019-08-27,-5.3383
2019-08-28,5.1568
2019-08-29,7.2555
2019-08-30,0.107
2019-09-03,0.7479
2019-09-04,-4.3213
2019-09-05,1.1638
2019-09-06,-2.6294
2019-09-09,-5.8228
2019-09-10,-13.9785
2019-09-11,-1.0417
2019-09-12,-3.193
2019-09-13,-3.6245000000000003
2019-09-16,-11.132
2019-09-17,2.6238
2019-09-18,-5.9381
2019-09-19,-3.3319
2019-09-20,4.8073
2019-09-23,10.0822
2019-09-24,-2.044
2019-09-25,-8.5474
2019-09-26,-6.143
2019-09-27,-4.0206
2019-09-30,4.6761
2019-10-01,2.6524
2019-10-02,-1.7226
2019-10-03,0.8303
2019-10-04,-0.4117
2019-10-07,-2.2049
2019-10-08,1.1273
2019-10-09,-7.0599
2019-10-10,3.4483
2019-10-11,0.9662
2019-10-14,-2.1053
2019-10-15,6.5982
2019-10-16,2.0174
2019-10-17,0.1348
2019-10-18,0.1346
2019-10-21,1.8377
2019-10-22,1.0563
2019-10-23,-1.0889
2019-10-24,0.6605
2019-10-25,9.0551
2019-10-28,3.6903
2019-10-29,15.2805
2019-10-30,-2.6174
2019-10-31,-2.3432
2019-11-01,1.3056
2019-11-04,6.1303
2019-11-05,1.0502
