ticker,ZNGA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-12-16,-5.0
2011-12-19,-4.7368
2011-12-20,2.0994
2011-12-21,2.4892
2011-12-22,0.0
2011-12-23,-0.8448
2011-12-27,3.8339
2011-12-28,-2.5641
2011-12-29,-1.3684
2011-12-30,0.4269
2012-01-03,0.4251
2012-01-04,-2.7513
2012-01-05,-3.0468
2012-01-06,-1.1223
2012-01-09,-9.1941
2012-01-10,6.625
2012-01-11,-2.3447
2012-01-12,1.4405999999999999
2012-01-13,4.9704
2012-01-17,3.9459
2012-01-18,-6.1822
2012-01-19,-1.3873
2012-01-20,6.5651
2012-01-23,0.33
2012-01-24,6.4693
2012-01-25,-1.8538000000000001
2012-01-26,-0.1049
2012-01-27,5.5672
2012-01-30,3.3830999999999998
2012-01-31,0.9625
2012-02-01,1.0486
2012-02-02,16.8396
2012-02-03,8.1147
2012-02-06,-4.6303
2012-02-07,4.2287
2012-02-08,2.855
2012-02-09,-3.214
2012-02-10,0.6038
2012-02-13,0.6677
2012-02-14,6.9528
2012-02-15,-17.7745
2012-02-16,2.1524
2012-02-17,7.2584
2012-02-21,0.7734
2012-02-22,-2.8396
2012-02-23,1.1848
2012-02-24,0.9368
2012-02-27,2.3975
2012-02-28,0.4532
2012-02-29,-0.9774
2012-03-01,9.9468
2012-03-02,1.4503
2012-03-05,-4.9013
2012-03-06,0.6084
2012-03-07,-2.0277
2012-03-08,-0.7262
2012-03-09,1.6094
2012-03-12,-0.9359
2012-03-13,-2.798
2012-03-14,-0.1869
2012-03-15,-2.1723
2012-03-16,-0.2297
2012-03-19,1.6117
2012-03-20,1.1329
2012-03-21,2.4645
2012-03-22,0.2551
2012-03-23,-2.5808999999999997
2012-03-26,-2.3881
2012-03-27,-0.4587
2012-03-28,-5.9908
2012-03-29,4.902
2012-03-30,2.4143
2012-04-02,-2.0532
2012-04-03,-4.5807
2012-04-04,-0.5696
2012-04-05,-2.5368
2012-04-09,0.7557
2012-04-10,-4.0833
2012-04-11,0.0869
2012-04-12,5.2951
2012-04-13,-2.3083
2012-04-16,-7.6371
2012-04-17,-5.8017
2012-04-18,-2.6188000000000002
2012-04-19,-4.6315
2012-04-20,-3.7076000000000002
2012-04-23,-2.3861
2012-04-24,-4.4444
2012-04-25,5.9302
2012-04-26,3.4029
2012-04-27,-9.5541
2012-04-30,-2.1714
2012-05-01,1.4997
2012-05-02,5.8511
2012-05-03,-3.4059
2012-05-04,-3.6994
2012-05-07,0.12
