ticker,ATMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-24,14.2857
2011-08-25,0.0
2011-08-26,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,0.0
2011-09-28,0.0
2011-09-29,-1.25
2011-09-30,-24.8101
2011-10-03,33.3333
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,-16.6667
2011-10-11,20.0
2011-10-14,0.0
2011-10-19,0.0
2011-10-20,-16.6667
2011-10-21,-40.0
2011-10-24,33.3333
2011-10-25,6.25
2011-10-26,0.0
2011-10-27,11.7647
2011-10-28,0.0
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,4.2105
2011-11-03,0.0
2011-11-04,-1.0101
2011-11-07,0.0
2011-11-08,1.0204
2011-11-09,-4.0404
2011-11-10,0.0
2011-11-11,-10.526299999999999
2011-11-14,15.2941
2011-11-15,6.1224
2011-11-16,-9.6154
2011-11-17,9.5745
2011-11-18,0.0
2011-11-21,0.9709
2011-11-22,-7.6923
2011-11-25,35.4167
2011-11-28,-22.3077
2011-11-29,3.4653
2011-11-30,29.1866
2011-12-01,-28.0556
2011-12-02,-5.2767
2011-12-05,0.0
2011-12-06,-2.1739
2011-12-07,-16.6667
2011-12-08,0.0
2011-12-12,-2.6667
2011-12-15,9.589
2011-12-16,28.3594
2011-12-19,17.8332
2011-12-20,-9.0909
2011-12-21,3.6364
2011-12-22,-12.2807
2011-12-23,0.0
2011-12-27,-4.0
2011-12-28,4.1667
2011-12-29,-8.0
2011-12-30,30.4348
2012-01-03,-3.3333
2012-01-04,16.3793
2012-01-05,7.4074
2012-01-06,7.5862
2012-01-09,-10.2564
2012-01-10,0.0
2012-01-11,-5.7143
2012-01-12,4.5455
2012-01-13,1.4493
2012-01-17,-3.5714
2012-01-18,11.1111
2012-01-19,0.0
2012-01-20,0.0
2012-01-23,0.6667
2012-01-24,1.3245
2012-01-25,-11.7647
2012-01-26,9.6296
2012-01-27,-5.4054
2012-01-30,10.0
2012-01-31,2.5974
2012-02-01,4.4304
2012-02-02,13.9394
2012-02-03,16.4894
2012-02-06,25.1142
2012-02-07,-21.1679
2012-02-08,-10.6481
2012-02-09,-32.6425
2012-02-10,2.3077
2012-02-13,-28.5714
2012-02-14,-1.5789
2012-02-15,22.9947
2012-02-16,0.0
2012-02-17,1.3043
2012-02-21,-3.8627000000000002
2012-02-22,7.1429
2012-02-23,5.8333
2012-02-24,-12.5984
2012-02-27,-0.9009
2012-02-28,-8.0682
