ticker,GYGC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-11,-26.6667
2005-03-14,0.9091
2005-03-15,8.1081
2005-03-16,-4.1667
2005-03-17,-17.3913
2005-03-18,5.2632
2005-03-21,-1.5
2005-03-22,-13.7056
2005-03-23,5.8824
2005-03-24,-15.5556
2005-03-28,18.4211
2005-03-29,-21.1111
2005-03-30,-2.8169
2005-03-31,15.942
2005-04-01,-18.75
2005-04-04,4.6154
2005-04-05,-25.0
2005-04-06,-19.6078
2005-04-07,24.3902
2005-04-08,7.8431
2005-04-11,-18.1818
2005-04-12,-17.7778
2005-04-13,54.0541
2005-04-14,-38.5965
2005-04-15,34.2857
2005-04-18,2.1277
2005-04-19,-12.5
2005-04-20,2.3810000000000002
2005-04-21,-6.9767
2005-04-22,-12.5
2005-04-25,8.5714
2005-04-27,5.2632
2005-04-28,-2.5
2005-04-29,-7.6923
2005-05-02,-11.1111
2005-05-03,6.25
2005-05-06,0.0
2005-05-09,-14.7059
2005-05-10,3.4483
2005-05-12,33.3333
2005-05-13,-1.25
2005-05-17,-6.3291
2005-05-18,-17.5676
2005-05-23,-1.6393
2005-05-24,26.6667
2005-05-26,-18.4211
2005-05-31,-19.3548
2005-06-01,52.0
2005-06-02,5.2632
2005-06-03,0.0
2005-06-09,-5.0
2005-06-10,-5.2632
2005-06-13,-16.1111
2005-06-14,-0.6623
2005-06-15,3.3333
2005-06-16,-3.2258
2005-06-17,3.3333
2005-06-21,29.0323
2005-06-22,-10.0
2005-06-23,11.1111
2005-06-24,10.0
2005-06-27,0.0
2005-06-28,2.2727
2005-06-29,-22.2222
2005-06-30,28.5714
2005-07-01,-35.5556
2005-07-05,16.2069
2005-07-06,3.8576
2005-07-07,-40.0
2005-07-08,42.8571
2005-07-11,66.6667
2005-07-12,6.0
2005-07-13,15.0943
2005-07-14,16.3934
2005-07-15,5.6338
2005-07-18,2.6667
2005-07-19,-19.4805
2005-07-20,-18.5484
2005-07-21,-0.9901
2005-07-22,20.0
2005-07-25,-26.6667
2005-07-26,-22.7273
2005-07-27,44.1176
2005-07-28,-16.3265
2005-07-29,21.9512
2005-08-01,-20.0
2005-08-02,30.0
2005-08-03,13.461500000000001
2005-08-04,-1.6949
2005-08-05,3.4483
2005-08-08,0.0
2005-08-09,-8.3333
2005-08-10,18.1818
2005-08-11,-7.6923
2005-08-12,-5.0
2005-08-15,-5.2632
2005-08-16,-5.5556
2005-08-17,5.8824
2005-08-18,16.6667
2005-08-19,7.9365
