ticker,SNMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-15,4.5238
2006-11-16,1.6856
2006-11-17,3.0914
2006-11-20,0.3911
2006-11-21,-0.3463
2006-11-22,0.1303
2006-11-24,0.2169
2006-11-27,-0.0433
2006-11-28,0.0
2006-11-29,0.3465
2006-11-30,-0.3021
2006-12-01,0.0
2006-12-04,0.0
2006-12-05,0.6494
2006-12-06,0.9032
2006-12-07,-0.8951
2006-12-08,-0.4301
2006-12-11,0.2592
2006-12-12,0.517
2006-12-13,0.0857
2006-12-14,-0.2141
2006-12-15,-0.4292
2006-12-18,1.5516999999999999
2006-12-19,1.8676
2006-12-20,4.7083
2006-12-21,0.2786
2006-12-22,0.9921
2006-12-26,0.0
2006-12-27,0.5894
2006-12-28,-0.4297
2006-12-29,0.0
2007-01-03,-2.1185
2007-01-04,-1.4028
2007-01-05,-0.2439
2007-01-08,-0.4075
2007-01-09,-0.1637
2007-01-10,-0.6148
2007-01-11,2.0619
2007-01-12,-0.8081
2007-01-16,0.611
2007-01-17,0.4049
2007-01-18,0.0
2007-01-19,-0.4032
2007-01-22,-0.6478
2007-01-23,1.6707
2007-01-24,0.5611
2007-01-25,0.837
2007-01-26,0.3162
2007-01-29,-0.9062
2007-01-30,-1.829
2007-01-31,-0.3645
2007-02-01,0.6504
2007-02-02,1.8578000000000001
2007-02-05,1.9076
2007-02-06,0.2354
2007-02-07,0.5871
2007-02-08,2.3346
2007-02-09,1.9392
2007-02-12,-2.8721
2007-02-13,2.4962
2007-02-14,-0.8992
2007-02-15,-1.2854
2007-02-16,4.2895
2007-02-20,3.1583
2007-02-21,1.4596
2007-02-22,0.2807
2007-02-23,-0.2799
2007-02-26,-0.7018
2007-02-27,-1.3074
2007-02-28,1.6827999999999999
2007-03-01,-0.4577
2007-03-02,-2.5115
2007-03-05,-1.6691
2007-03-06,2.0295
2007-03-07,1.4466999999999999
2007-03-08,1.7469000000000001
2007-03-09,8.6195
2007-03-12,0.0
2007-03-13,2.5806
2007-03-14,0.9434
2007-03-15,0.3115
2007-03-16,0.3106
2007-03-19,0.6192
2007-03-20,1.5385
2007-03-21,-1.8178
2007-03-22,0.1539
2007-03-23,-0.6163
2007-03-26,-0.4651
2007-03-27,3.8941
2007-03-28,3.2984
2007-03-29,1.5385
2007-03-30,0.9434
2007-04-02,2.5205
2007-04-03,3.2597
2007-04-04,-1.5784
2007-04-05,1.0601
2007-04-09,-0.6455
2007-04-10,0.9746
2007-04-11,0.0
