ticker,GAIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5748
2000-01-04,-0.8
2000-01-05,0.0
2000-01-06,3.2258
2000-01-07,-3.125
2000-01-10,0.0
2000-01-11,1.6129
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,-1.5873
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,-3.2258
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,0.0
2000-02-02,2.9167
2000-02-03,-2.834
2000-02-04,0.0
2000-02-07,1.6667
2000-02-08,-2.459
2000-02-09,-2.521
2000-02-10,3.4483
2000-02-11,-1.6667
2000-02-14,0.8475
2000-02-15,-0.8403
2000-02-16,3.3898
2000-02-17,1.6393
2000-02-18,-0.8065
2000-02-22,3.252
2000-02-23,0.7874
2000-02-24,0.0
2000-02-25,1.5625
2000-02-28,1.5385
2000-02-29,2.2727
2000-03-01,8.1481
2000-03-02,2.7397
2000-03-03,-4.0
2000-03-06,2.7778
2000-03-07,-2.7027
2000-03-08,-2.7778
2000-03-09,-1.4285999999999999
2000-03-10,-0.7246
2000-03-13,2.9196999999999997
2000-03-14,3.1915
2000-03-15,-2.4055
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,0.0
2000-03-21,-1.4085
2000-03-22,1.4285999999999999
2000-03-23,1.4085
2000-03-24,0.0
2000-03-27,-4.1667
2000-03-28,4.3478
2000-03-29,0.0
2000-03-30,-5.5556
2000-03-31,2.9412000000000003
2000-04-03,5.7143
2000-04-04,-2.7027
2000-04-05,-5.5556
2000-04-06,0.0
2000-04-07,0.0
2000-04-11,0.0
2000-04-12,8.8235
2000-04-13,-5.4054
2000-04-14,-8.5714
2000-04-17,-1.5625
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,-4.3651
2000-04-25,4.5643
2000-04-26,1.5873
2000-04-27,17.1875
2000-04-28,4.0
2000-05-01,5.1282
2000-05-02,3.6585
2000-05-03,5.2941
2000-05-04,2.7933
2000-05-05,3.2609
2000-05-08,-3.1579
2000-05-09,4.3478
2000-05-10,-3.125
2000-05-11,-1.0753
2000-05-12,0.0
2000-05-15,-4.8913
2000-05-16,-0.5714
2000-05-17,-7.4713
2000-05-18,-5.5901
2000-05-19,-10.526299999999999
2000-05-22,8.8235
2000-05-23,1.3514
2000-05-24,-8.0
2000-05-25,1.4493
2000-05-26,6.4286
2000-05-30,0.0
