ticker,DSPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.8978
2000-01-04,-10.2846
2000-01-05,4.398
2000-01-06,-7.5967
2000-01-07,1.6442
2000-01-10,2.4265
2000-01-11,-4.8098
2000-01-12,0.3771
2000-01-13,1.8782999999999999
2000-01-14,13.0531
2000-01-18,0.7175
2000-01-19,9.9741
2000-01-20,-0.7067
2000-01-21,-2.2539
2000-01-24,3.5194
2000-01-25,4.1032
2000-01-26,-1.1261
2000-01-27,-10.5923
2000-01-28,-1.5924
2000-01-31,-5.7605
2000-02-01,0.0
2000-02-02,3.1593
2000-02-03,4.6605
2000-02-04,-3.3079
2000-02-07,-8.8158
2000-02-08,1.5873
2000-02-09,-2.1307
2000-02-10,3.1205
2000-02-11,-0.0704
2000-02-14,0.5634
2000-02-15,-1.6106
2000-02-16,-0.9253
2000-02-17,-5.7471
2000-02-18,-5.7927
2000-02-22,4.1262
2000-02-23,5.5944
2000-02-24,1.1038000000000001
2000-02-25,-7.1325
2000-02-28,1.5674000000000001
2000-02-29,8.4105
2000-03-01,10.1779
2000-03-02,-9.0439
2000-03-03,6.9602
2000-03-06,4.9137
2000-03-07,-3.038
2000-03-08,3.1332
2000-03-09,7.0886
2000-03-10,5.9102
2000-03-13,-2.4554
2000-03-14,-5.349
2000-03-15,-5.349
2000-03-16,-3.3205999999999998
2000-03-17,8.0581
2000-03-20,-7.2127
2000-03-21,0.2635
2000-03-22,6.4389
2000-03-23,7.9012
2000-03-24,11.2128
2000-03-27,15.6379
2000-03-28,-4.9822
2000-03-29,4.2135
2000-03-30,-10.9614
2000-03-31,6.559
2000-04-03,-4.7348
2000-04-04,10.5368
2000-04-05,-12.4101
2000-04-06,-1.4374
2000-04-07,3.3333
2000-04-10,-6.25
2000-04-11,-1.0753
2000-04-12,-9.6739
2000-04-13,-1.6846999999999999
2000-04-14,-12.8519
2000-04-17,8.427
2000-04-18,15.9326
2000-04-19,-1.6760000000000002
2000-04-20,4.8864
2000-04-24,-8.0173
2000-04-25,15.4299
2000-04-26,-1.9388
2000-04-27,14.1519
2000-04-28,3.7375
2000-05-01,-0.5272
2000-05-02,-9.894
2000-05-03,-4.902
2000-05-04,-1.8557000000000001
2000-05-05,4.4118
2000-05-08,-10.2616
2000-05-09,-2.3543
2000-05-10,-8.3812
2000-05-11,2.2556
2000-05-12,2.6961
2000-05-15,-0.4773
2000-05-16,-3.2374
2000-05-17,2.6022
2000-05-18,-7.3671
2000-05-19,-5.867
