ticker,VRCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-02,150.0
2009-07-06,-5.0
2009-07-10,-47.3684
2009-07-13,200.0
2009-07-14,66.6667
2009-07-15,0.0
2009-07-16,-20.0
2009-07-17,0.0
2009-07-20,27.5
2009-07-21,7.8431
2009-07-22,1.8182
2009-07-23,5.3571
2009-07-24,1.6949
2009-07-27,3.3333
2009-07-28,-11.2903
2009-07-29,-7.2727
2009-07-30,0.0
2009-07-31,0.0
2009-08-03,0.0
2009-08-04,15.6863
2009-08-06,-13.5593
2009-08-07,7.8431
2009-08-10,60.0
2009-08-11,37.5
2009-08-12,3.3058
2009-08-13,5.6
2009-08-14,-4.5455
2009-08-17,-19.8413
2009-08-18,13.8614
2009-08-19,8.6957
2009-08-20,4.8
2009-08-21,6.8702
2009-08-24,0.7143
2009-08-25,-1.4184
2009-08-26,10.7914
2009-08-27,-5.8442
2009-08-28,36.5517
2009-08-31,0.0
2009-09-01,19.1919
2009-09-02,2.9661
2009-09-03,-5.3498
2009-09-04,-2.1739
2009-09-08,-20.0
2009-09-09,-29.4444
2009-09-10,5.5118
2009-09-11,-7.4627
2009-09-14,-35.4839
2009-09-15,30.0
2009-09-16,-8.6538
2009-09-17,-10.526299999999999
2009-09-18,-23.5294
2009-09-21,21.5385
2009-09-22,-17.7215
2009-09-23,12.3077
2009-09-24,-4.1096
2009-09-25,-15.7143
2009-09-28,-13.5593
2009-09-29,-15.6863
2009-09-30,-2.3256
2009-10-01,28.5714
2009-10-02,29.6296
2009-10-05,-40.0
2009-10-06,42.8571
2009-10-07,-3.3333
2009-10-08,5.1724
2009-10-09,8.1967
2009-10-12,-9.0909
2009-10-13,-8.3333
2009-10-14,-1.8182
2009-10-15,25.9259
2009-10-16,-4.4118
2009-10-19,-7.6923
2009-10-20,0.0
2009-10-21,8.3333
2009-10-22,80.0
2009-10-23,-6.4103
2009-10-26,-22.3744
2009-10-27,-29.4118
2009-10-28,1.6667
2009-10-29,-1.6393
2009-10-30,20.0
2009-11-02,-1.3889
2009-11-03,4.2254
2009-11-04,28.3784
2009-11-05,5.2632
2009-11-06,-20.0
2009-11-09,-16.25
2009-11-10,11.9403
2009-11-11,-4.0
2009-11-12,-2.7778
2009-11-13,-2.8571
2009-11-16,-25.0
2009-11-17,9.6078
2009-11-18,-6.9767
2009-11-19,-13.461500000000001
2009-11-20,4.4444
2009-11-23,-23.4043
2009-11-24,6.9444
2009-11-25,-16.8831
2009-11-27,-9.375
