ticker,COHU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.8387
2000-01-04,-0.8475
2000-01-05,-3.4188
2000-01-06,-1.9912
2000-01-07,4.9661
2000-01-10,1.5053999999999998
2000-01-11,-4.661
2000-01-12,1.3333
2000-01-13,4.386
2000-01-14,17.647100000000002
2000-01-18,0.0
2000-01-19,15.7143
2000-01-20,5.5556
2000-01-21,7.6023
2000-01-24,-4.8913
2000-01-25,-1.7143000000000002
2000-01-26,-2.6163
2000-01-27,2.6866
2000-01-28,1.1628
2000-01-31,-5.1724
2000-02-01,-1.8182
2000-02-02,6.4815
2000-02-03,3.7681
2000-02-04,2.2346
2000-02-07,1.776
2000-02-08,-0.1342
2000-02-09,-2.0161
2000-02-10,0.9602
2000-02-11,0.5435
2000-02-14,0.5405
2000-02-15,7.5269
2000-02-16,19.0
2000-02-17,-4.2017
2000-02-18,-3.7281
2000-02-22,3.8155
2000-02-23,2.4685
2000-02-24,-4.4968
2000-02-25,-1.065
2000-02-28,-0.2833
2000-02-29,2.5
2000-03-01,3.3259
2000-03-02,-1.7167
2000-03-03,1.7467000000000001
2000-03-06,1.5021
2000-03-07,-4.6512
2000-03-08,0.0
2000-03-09,-0.4435
2000-03-10,2.2272
2000-03-13,-8.4967
2000-03-14,-14.7619
2000-03-15,-12.5698
2000-03-16,-0.6709
2000-03-17,15.942
2000-03-20,-3.1944
2000-03-21,9.3615
2000-03-22,-3.3125999999999998
2000-03-23,-1.7639
2000-03-24,1.9337
2000-03-27,0.6775
2000-03-28,-7.6716
2000-03-29,-2.4781
2000-03-30,-4.6338
2000-03-31,4.5455
2000-04-03,-9.7826
2000-04-04,9.0154
2000-04-05,4.7256
2000-04-06,4.3668
2000-04-07,9.3445
2000-04-10,-9.6939
2000-04-11,-0.0706
2000-04-12,-2.7561999999999998
2000-04-13,0.5814
2000-04-14,-9.5376
2000-04-17,-0.639
2000-04-18,2.8939
2000-04-19,-0.1562
2000-04-20,4.2254
2000-04-24,-12.9129
2000-04-25,2.069
2000-04-26,-5.4054
2000-04-27,16.7857
2000-04-28,-6.8807
2000-05-01,5.0903
2000-05-02,-4.8828
2000-05-03,5.1335
2000-05-04,-6.5625
2000-05-05,2.3411
2000-05-08,-5.8824
2000-05-09,-0.1736
2000-05-10,-3.6522
2000-05-11,3.0686
2000-05-12,1.5762
2000-05-15,12.931000000000001
2000-05-16,-1.2214
2000-05-17,0.4637
2000-05-18,-6.3077
2000-05-19,-3.1199
2000-05-22,-1.0169
