ticker,SCDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-09-08,-74.2857
2009-09-09,205.5556
2009-09-25,0.0
2009-09-28,-61.8182
2009-09-30,-4.7619
2009-10-01,5.0
2009-10-06,0.0
2009-10-07,66.6667
2009-10-16,5.7143
2009-10-20,-35.1351
2009-11-05,-16.6667
2009-11-12,-25.0
2009-11-25,0.0
2009-11-30,33.3333
2009-12-01,-25.0
2009-12-02,0.0
2009-12-03,13.3333
2009-12-04,-11.7647
2009-12-07,0.0
2009-12-08,0.0
2009-12-17,-20.0
2009-12-18,-16.6667
2009-12-21,0.0
2009-12-22,0.0
2010-01-06,0.0
2010-01-20,-10.0
2010-01-21,-22.2222
2010-01-22,14.2857
2010-01-26,-12.5
2010-01-27,14.2857
2010-01-29,0.0
2010-02-02,12.5
2010-02-04,0.0
2010-02-09,11.1111
2010-02-10,-10.0
2010-02-12,0.0
2010-02-18,11.1111
2010-03-11,50.0
2010-03-12,0.0
2010-03-15,-13.3333
2010-03-16,0.0
2010-03-17,7.6923
2010-03-19,0.0
2010-03-22,0.0
2010-03-30,3.5714
2010-03-31,3.4483
2010-04-01,40.0
2010-04-05,-13.3333
2010-04-09,9.8901
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,0.0
2010-04-15,0.0
2010-04-21,0.0
2010-04-26,-32.0
2010-04-27,32.3529
2010-04-28,-27.7778
2010-04-29,0.7692
2010-05-12,-4.5802
2010-05-18,-20.0
2010-05-24,10.0
2010-05-26,0.0
2010-06-01,0.0
2010-06-08,0.0
2010-06-11,-7.2727
2010-06-14,0.0
2010-07-12,-18.8113
2010-07-14,-3.3962
2010-07-15,-12.5
2010-07-16,-14.2857
2010-07-21,-33.3333
2010-07-22,25.0
2010-07-27,0.0
2010-07-29,0.0
2010-08-06,-12.375
2010-08-26,14.1227
2010-08-30,0.0
2010-08-31,-18.375
2010-09-01,0.0
2010-09-02,22.5115
2010-09-08,-18.375
2010-10-19,0.4594
2010-11-11,-2.439
2010-11-16,12.5
2010-12-07,11.1111
2010-12-09,0.0
2010-12-10,0.0
2010-12-20,0.0
2010-12-22,0.0
2011-01-07,0.0
2011-01-28,-20.0
2011-02-01,25.0
2011-02-02,17.625
2011-02-03,-6.4825
2011-02-04,6.9318
2011-02-07,2.0191
2011-02-08,8.3333
2011-02-09,36.6346
2011-02-11,11.2597
2011-02-15,21.4421
2011-02-16,-8.3333
2011-02-17,0.0
2011-02-18,30.9091
2011-02-22,-23.6111
2011-02-23,53.4659
