ticker,ICLD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-27,23.1884
2011-04-28,-11.7647
2011-04-29,0.0
2011-05-02,26.6667
2011-05-03,-10.526299999999999
2011-05-04,5.8824
2011-05-05,-11.1111
2011-05-06,-37.5
2011-05-09,-25.0
2011-05-10,1.3333
2011-05-11,10.526299999999999
2011-05-12,-4.7619
2011-05-13,-25.0
2011-05-17,0.0
2011-05-18,25.0
2011-05-20,72.0
2011-05-23,-17.8295
2011-05-27,22.6415
2011-05-31,-7.6923
2011-06-02,-41.6667
2011-06-03,1.4285999999999999
2011-06-08,0.0
2011-06-15,111.2676
2011-06-20,0.0
2011-07-20,-46.6667
2011-07-22,37.5
2011-07-29,-18.1818
2011-08-17,11.1111
2011-08-19,0.0
2011-08-22,-20.0
2011-08-23,-39.375
2011-08-24,34.0206
2011-08-25,0.0
2011-08-26,7.6923
2011-08-29,42.8571
2011-08-30,-5.0
2011-09-09,-8.4211
2011-09-12,-25.2874
2011-09-13,38.4615
2011-09-14,-3.3333
2011-09-15,20.6897
2011-09-16,-8.5714
2011-09-19,-6.25
2011-09-20,1.1111
2011-09-21,-17.5824
2011-09-22,-6.6667
2011-09-23,-2.8571
2011-09-26,-0.7353
2011-09-27,-38.7963
2011-09-28,16.1876
2011-09-29,30.2083
2011-09-30,15.2
2011-10-03,-9.7222
2011-10-04,-44.6154
2011-10-05,8.6806
2011-10-06,-36.1022
2011-10-07,40.0
2011-10-11,-28.5714
2011-10-12,40.0
2011-10-13,-42.8571
2011-10-14,5.0
2011-10-17,7.1429
2011-10-18,-28.8889
2011-10-19,-0.7813
2011-10-20,0.7874
2011-10-24,3.125
2011-10-25,-3.0303
2011-10-26,-6.25
2011-10-27,-30.8333
2011-10-28,-13.253
2011-11-01,11.1111
2011-11-02,1.25
2011-11-03,23.4568
2011-11-04,4.0
2011-11-08,23.0769
2011-11-09,-3.9063
2011-11-10,-38.2114
2011-11-11,0.0
2011-11-14,-5.2632
2011-11-15,-29.8611
2011-11-17,-1.9802
2011-11-18,-3.0303
2011-11-21,-3.125
2011-11-22,-8.6022
2011-11-23,-8.2353
2011-11-25,2.5641
2011-11-28,10.0
2011-11-29,0.0
2011-11-30,36.3636
2011-12-01,-35.8333
2011-12-02,0.0
2011-12-05,0.0
2011-12-06,14.2857
2011-12-07,9.0909
2011-12-08,-28.125
2011-12-09,0.0
2011-12-12,15.942
2011-12-13,-20.0
2011-12-14,0.0
2011-12-15,25.0
2011-12-16,-30.0
