ticker,GNTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.8423
2000-01-04,-2.1302
2000-01-05,-0.6046
2000-01-06,4.6229
2000-01-07,7.907
2000-01-10,-9.6983
2000-01-11,-0.4773
2000-01-12,-2.1583
2000-01-13,7.598
2000-01-14,2.6196
2000-01-18,-0.7769
2000-01-19,-0.783
2000-01-20,1.9165999999999999
2000-01-21,13.7168
2000-01-24,-0.3891
2000-01-25,-4.5898
2000-01-26,-1.74
2000-01-27,0.0
2000-01-28,-0.1042
2000-01-31,0.1043
2000-02-01,1.0417
2000-02-02,-0.2062
2000-02-03,0.0
2000-02-04,9.0909
2000-02-07,-5.8712
2000-02-08,5.835
2000-02-09,-5.7034
2000-02-10,-3.3266
2000-02-11,-5.5266
2000-02-14,12.362
2000-02-15,2.1611
2000-02-16,-1.9231
2000-02-17,-0.7843
2000-02-18,-2.3715
2000-02-22,1.2146
2000-02-23,-5.6
2000-02-24,-0.2119
2000-02-25,-1.0616
2000-02-28,1.5021
2000-02-29,-1.1628
2000-03-01,0.0
2000-03-02,2.4599
2000-03-03,3.4447
2000-03-06,-2.7245
2000-03-07,2.9046
2000-03-08,3.8306
2000-03-09,6.0194
2000-03-10,0.1832
2000-03-13,-2.1024
2000-03-14,-2.521
2000-03-15,4.4061
2000-03-16,6.055
2000-03-17,2.7682
2000-03-20,2.5253
2000-03-21,0.1642
2000-03-22,1.4754
2000-03-23,-1.8982
2000-03-24,-1.0292
2000-03-27,1.9967000000000001
2000-03-28,-2.7732
2000-03-29,0.3356
2000-03-30,0.3763
2000-03-31,-1.2078
2000-04-03,-9.2749
2000-04-04,-1.5798999999999999
2000-04-05,3.4939
2000-04-06,8.3942
2000-04-07,-0.5051
2000-04-10,-3.7225
2000-04-11,2.5483000000000002
2000-04-12,0.7712
2000-04-13,1.7006999999999999
2000-04-14,-6.689
2000-04-17,-8.2437
2000-04-18,0.3418
2000-04-19,-0.5353
2000-04-20,-5.2838
2000-04-24,3.3058
2000-04-25,2.2
2000-04-26,-2.544
2000-04-27,4.0161
2000-04-28,-0.3861
2000-05-01,-4.6512
2000-05-02,-2.8455
2000-05-03,2.7197
2000-05-04,2.6477
2000-05-05,-3.5714
2000-05-08,-1.0288
2000-05-09,1.2474
2000-05-10,-3.9013999999999998
2000-05-11,7.265
2000-05-12,-2.988
2000-05-15,-1.6427
2000-05-16,3.7578
2000-05-17,-0.8048
2000-05-18,1.4199
2000-05-19,-2.2
2000-05-22,1.8405
