ticker,VXRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.7027
2000-01-04,-5.2632
2000-01-05,11.1111
2000-01-06,0.0
2000-01-07,2.5
2000-01-10,0.0
2000-01-11,-4.878
2000-01-12,2.5641
2000-01-13,1.25
2000-01-14,-1.8519
2000-01-18,2.5157
2000-01-19,14.1104
2000-01-20,13.9785
2000-01-21,17.9245
2000-01-24,-17.6
2000-01-25,6.7961
2000-01-26,-7.2727
2000-01-27,2.9412000000000003
2000-01-28,-9.5238
2000-01-31,2.1053
2000-02-01,11.3402
2000-02-02,4.6296
2000-02-03,-0.885
2000-02-04,0.8929
2000-02-07,0.0
2000-02-08,2.6549
2000-02-09,-5.1724
2000-02-10,2.7273
2000-02-11,0.885
2000-02-14,-3.5088
2000-02-15,5.4545
2000-02-16,13.7931
2000-02-17,16.6667
2000-02-18,-5.8442
2000-02-22,-2.7586
2000-02-23,-3.5461
2000-02-24,13.2353
2000-02-25,-9.0909
2000-02-28,22.8571
2000-02-29,2.3256
2000-03-01,-12.5
2000-03-02,14.2857
2000-03-03,-1.1364
2000-03-06,1.1494
2000-03-07,-7.9545
2000-03-08,-6.7901
2000-03-09,0.6623
2000-03-10,2.6316
2000-03-13,-1.2821
2000-03-14,-9.7403
2000-03-15,-11.5108
2000-03-16,8.1301
2000-03-17,-0.7519
2000-03-20,-6.0606
2000-03-21,1.6129
2000-03-22,1.5873
2000-03-23,3.9062
2000-03-24,-0.7519
2000-03-27,-7.197
2000-03-28,-2.8571
2000-03-29,-3.3613
2000-03-30,-6.9565
2000-03-31,0.9346
2000-04-03,-7.4074
2000-04-04,-4.0
2000-04-05,0.0
2000-04-06,-4.1667
2000-04-07,4.3478
2000-04-10,1.0417
2000-04-11,-3.0928
2000-04-12,-12.766
2000-04-13,-1.8293
2000-04-14,-13.0435
2000-04-17,11.4286
2000-04-18,20.5128
2000-04-19,-5.8511
2000-04-20,8.4746
2000-04-24,-8.3333
2000-04-25,-9.0909
2000-04-26,-3.75
2000-04-27,-1.2987
2000-04-28,1.3158
2000-05-01,3.8961
2000-05-02,0.0
2000-05-03,-1.25
2000-05-04,5.0633
2000-05-05,6.0241
2000-05-08,-7.9545
2000-05-09,0.0
2000-05-10,-8.642
2000-05-11,0.0
2000-05-12,8.1081
2000-05-15,19.375
2000-05-16,2.6178
2000-05-17,-5.102
2000-05-18,-1.0753
2000-05-19,-8.6957
2000-05-22,4.7619
2000-05-23,0.0
2000-05-24,-5.6818
