ticker,AHAD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-25,26.6667
2016-10-27,10.526299999999999
2017-09-22,42.8571
2018-01-29,8.3333
2018-02-09,22.3077
2018-02-12,-11.9497
2018-02-13,20.0143
2018-02-14,2.952
2018-02-15,2.9021
2018-02-16,2.2472
2018-02-20,4.3956
2018-02-21,3.1474
2018-02-22,2.0512
2018-02-23,7.0
2018-02-26,1.8692
2018-02-27,27.5229
2018-02-28,-12.9496
2018-03-01,2.4793
2018-03-02,-34.6774
2018-03-05,-2.5926
2018-03-06,6.4639
2018-03-07,4.1548
2018-03-08,-0.5029
2018-03-09,-3.5037000000000003
2018-03-12,-4.1667
2018-03-13,6.8323
2018-03-14,3.4884
2018-03-15,24.7191
2018-03-16,-22.5225
2018-03-19,-28.8372
2018-03-20,-17.4837
2018-03-21,-8.9109
2018-03-22,-34.7826
2018-03-23,-40.0
2018-03-26,-11.1111
2018-03-27,-46.75
2018-03-28,-23.7089
2018-03-29,-30.7692
2018-04-02,33.3333
2018-04-03,-8.3333
2018-04-04,5.4545
2018-04-05,-36.2069
2018-04-06,-8.1081
2018-04-09,14.7059
2018-04-10,27.9487
2018-04-11,-19.8397
2018-04-12,17.5
2018-04-13,-13.8298
2018-04-16,11.1111
2018-04-17,-6.6667
2018-04-18,-8.3333
2018-04-19,0.0
2018-04-20,-11.6883
2018-04-23,-2.0588
2018-04-26,32.1321
2018-04-27,0.0
2018-04-30,2.2727
2018-05-01,0.0
2018-05-02,277.7778
2018-05-03,-29.4118
2018-05-04,-19.1667
2018-05-07,-27.6289
2018-05-08,-21.6524
2018-05-09,25.4545
2018-05-10,-42.029
2018-05-11,25.0
2018-05-14,1.4
2018-05-15,-1.3807
2018-05-16,-1.2
2018-05-17,-6.8826
2018-05-18,-9.7826
2018-05-21,7.7108
2018-05-22,0.6711
2018-05-23,4.6667
2018-05-24,-6.5817
2018-05-25,7.7273
2018-05-29,-11.3924
2018-05-30,14.0476
2018-05-31,-8.142
2018-06-01,-9.0909
2018-06-04,2.5
2018-06-05,0.9756
2018-06-06,-0.9662
2018-06-07,-6.0976
2018-06-08,-1.2987
2018-06-11,-7.6316
2018-06-12,-0.2849
2018-06-13,0.0
2018-06-14,0.0
2018-06-15,-14.0
2018-06-18,0.3322
2018-06-19,1.4073
2018-06-20,1.6327
2018-06-21,-3.6145
2018-06-22,0.0
2018-06-25,23.3333
2018-06-27,-5.4054
2018-06-28,-31.4286
2018-06-29,-10.8333
2018-07-02,2.8037
