ticker,VRNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-05-16,-9.4375
2002-05-17,-15.1139
2002-05-20,-2.439
2002-05-21,-3.3333
2002-05-22,-5.1724
2002-05-23,1.5455
2002-05-24,6.983
2002-05-28,4.1841
2002-05-29,9.6386
2002-05-30,0.3663
2002-05-31,-7.6642
2002-06-03,-8.6877
2002-06-04,-8.0599
2002-06-05,9.2279
2002-06-06,-7.7586
2002-06-07,-5.1402
2002-06-10,4.0493
2002-06-11,5.1037
2002-06-12,5.8559
2002-06-13,-1.4468
2002-06-14,1.468
2002-06-17,4.9362
2002-06-18,-5.5069
2002-06-19,0.8497
2002-06-20,-2.9787
2002-06-21,-5.614
2002-06-24,-0.0929
2002-06-25,-3.5442
2002-06-26,-4.3302
2002-06-27,9.7883
2002-06-28,3.7307
2002-07-01,-9.4475
2002-07-02,-6.4516
2002-07-03,-9.0909
2002-07-05,0.0
2002-07-08,6.8966
2002-07-09,7.8495
2002-07-10,-2.6919
2002-07-11,0.3074
2002-07-12,-1.1236
2002-07-15,-2.593
2002-07-16,2.8741
2002-07-17,2.9897
2002-07-18,-0.8008
2002-07-19,-3.9354
2002-07-22,-6.8277
2002-07-23,-18.602
2002-07-24,3.8781
2002-07-25,-6.6667
2002-07-26,-1.4285999999999999
2002-07-29,-8.6957
2002-07-30,-2.6984
2002-07-31,3.752
2002-08-01,3.7736
2002-08-02,0.0
2002-08-05,2.7273
2002-08-06,15.6342
2002-08-07,3.9541
2002-08-08,5.5215
2002-08-09,0.4651
2002-08-12,1.7361
2002-08-13,-3.1854
2002-08-14,9.1657
2002-08-15,3.1216
2002-08-16,-2.8184
2002-08-19,1.2889
2002-08-20,0.106
2002-08-21,0.6356
2002-08-22,-3.0526
2002-08-23,-2.2801
2002-08-26,-4.6444
2002-08-27,4.5211
2002-08-28,-1.2263
2002-08-29,1.5800999999999998
2002-08-30,-4.4444
2002-09-03,-1.0465
2002-09-04,6.933
2002-09-05,-1.4285999999999999
2002-09-06,0.3344
2002-09-09,2.2222
2002-09-10,9.7826
2002-09-11,-6.3366
2002-09-12,0.4228
2002-09-13,4.3158
2002-09-16,-4.5409
2002-09-17,-3.0655
2002-09-18,-0.7634
2002-09-19,-0.4396
2002-09-20,2.0971
2002-09-23,-4.8649000000000004
2002-09-24,0.0
2002-09-25,0.9091
2002-09-26,3.9414
2002-09-27,-2.0585
2002-09-30,-4.5465
2002-10-01,7.0808
2002-10-02,6.1688
2002-10-03,0.7136
