ticker,SPSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,13.3333
2010-04-23,2.2794
2010-04-26,-0.4313
2010-04-27,-2.8159
2010-04-28,-1.4116
2010-04-29,2.1854
2010-04-30,-0.4425
2010-05-03,-1.2593
2010-05-04,0.15
2010-05-05,0.9738
2010-05-06,-5.0445
2010-05-07,0.4687
2010-05-10,0.6998
2010-05-11,-0.3089
2010-05-12,1.0844
2010-05-13,3.4483
2010-05-14,-3.7037
2010-05-17,-0.4615
2010-05-18,0.1546
2010-05-19,0.9259
2010-05-20,-4.4343
2010-05-21,0.0
2010-05-24,0.56
2010-05-25,0.4773
2010-05-26,-4.9089
2010-05-27,1.1657
2010-05-28,-0.5761
2010-06-01,-4.3874
2010-06-02,-2.5541
2010-06-03,2.8876
2010-06-04,-0.0864
2010-06-07,-0.6914
2010-06-08,0.0
2010-06-09,-2.5239000000000003
2010-06-10,-0.1786
2010-06-11,-0.5367
2010-06-14,0.5396
2010-06-15,9.749600000000001
2010-06-16,0.2445
2010-06-17,1.4634
2010-06-18,-2.4038
2010-06-21,2.5452
2010-06-22,-0.8006
2010-06-23,-0.2421
2010-06-24,0.1618
2010-06-25,-4.2811
2010-06-28,1.6878
2010-06-29,-3.9004
2010-06-30,0.3454
2010-07-01,1.2048
2010-07-02,-0.7653
2010-07-06,-2.7420999999999998
2010-07-07,2.9956
2010-07-08,-1.1976
2010-07-09,0.4329
2010-07-12,-1.1207
2010-07-13,0.5231
2010-07-14,2.1683
2010-07-15,-4.1596
2010-07-16,-8.5031
2010-07-19,-1.9361000000000002
2010-07-20,-0.9872
2010-07-21,-2.2931
2010-07-22,1.8367
2010-07-23,1.1022
2010-07-26,2.2795
2010-07-27,2.1318
2010-07-28,0.4744
2010-07-29,3.8716
2010-07-30,-3.2727
2010-08-02,0.0
2010-08-03,-2.3496
2010-08-04,-1.5399
2010-08-05,-1.7595
2010-08-06,-1.8904999999999998
2010-08-09,0.1014
2010-08-10,-4.154
2010-08-11,0.0
2010-08-12,-0.3171
2010-08-13,-1.3786
2010-08-16,-1.7204000000000002
2010-08-17,-2.6258
2010-08-18,-0.4494
2010-08-19,-0.6772
2010-08-20,-1.9318
2010-08-23,-0.3476
2010-08-24,0.1163
2010-08-25,5.5748999999999995
2010-08-26,5.2805
2010-08-27,6.7921
2010-08-30,-4.1096
2010-08-31,3.9796
2010-09-01,1.1776
2010-09-02,0.194
2010-09-03,4.3562
2010-09-07,-0.2783
2010-09-08,0.9302
