ticker,TTWO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,5.7971
2000-01-04,-2.7397
2000-01-05,-0.4695
2000-01-06,-0.9434
2000-01-07,2.8571
2000-01-10,1.8519
2000-01-11,-2.2727
2000-01-12,-3.2558
2000-01-13,7.2115
2000-01-14,2.6906
2000-01-18,-2.1834
2000-01-19,-4.9107
2000-01-20,0.0
2000-01-21,-10.7981
2000-01-24,-5.2632
2000-01-25,1.1111
2000-01-26,5.4945
2000-01-27,0.1302
2000-01-28,-1.6905000000000001
2000-01-31,5.291
2000-02-01,-3.5176
2000-02-02,0.0
2000-02-03,-1.5625
2000-02-04,2.6455
2000-02-07,-1.0309
2000-02-08,9.375
2000-02-09,6.1905
2000-02-10,1.3453
2000-02-11,-2.6549
2000-02-14,-2.2727
2000-02-15,-1.8605
2000-02-16,5.2133
2000-02-17,-5.8559
2000-02-18,0.4785
2000-02-22,1.4285999999999999
2000-02-23,6.1033
2000-02-24,-7.9646
2000-02-25,-0.9615
2000-02-28,-3.8834999999999997
2000-02-29,0.5051
2000-03-01,12.5628
2000-03-02,6.25
2000-03-03,5.8824
2000-03-06,-0.3968
2000-03-07,4.5817
2000-03-08,9.3333
2000-03-09,3.8327999999999998
2000-03-10,-13.4228
2000-03-13,3.1008
2000-03-14,-9.3985
2000-03-15,-0.8299
2000-03-16,-0.4184
2000-03-17,0.8403
2000-03-20,-2.0833
2000-03-21,5.5319
2000-03-22,0.0
2000-03-23,-5.6452
2000-03-24,-8.547
2000-03-27,2.8037
2000-03-28,-1.8182
2000-03-29,-0.463
2000-03-30,-7.4419
2000-03-31,6.5327
2000-04-03,-2.3585
2000-04-04,-7.2464
2000-04-05,5.2083
2000-04-06,2.4752
2000-04-07,-6.2802
2000-04-10,-12.3711
2000-04-11,-3.5294
2000-04-12,-7.3171
2000-04-13,1.3158
2000-04-14,-14.2857
2000-04-17,6.0606
2000-04-18,12.857099999999999
2000-04-19,1.2658
2000-04-20,0.0
2000-04-24,-3.75
2000-04-25,-6.4935
2000-04-26,0.0
2000-04-27,0.6944
2000-04-28,6.2069
2000-05-01,8.4416
2000-05-02,4.7904
2000-05-03,-3.4286
2000-05-04,0.5917
2000-05-05,4.1176
2000-05-08,-0.565
2000-05-09,1.1364
2000-05-10,-3.9326
2000-05-11,6.4327
2000-05-12,-0.5495
2000-05-15,3.8674
2000-05-16,2.1277
2000-05-17,7.2917
2000-05-18,-1.9417
2000-05-19,-0.9901
2000-05-22,-1.5
