ticker,TC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-21,-0.2554
2018-11-23,-1.9205999999999999
2018-11-26,-8.6162
2018-11-27,-4.2857
2018-11-28,6.7164
2018-11-29,0.2797
2018-11-30,3.2078
2018-12-03,1.2162
2018-12-04,-2.6702
2018-12-06,-3.2922000000000002
2018-12-07,-2.2695
2018-12-10,0.1451
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,-0.5797
2018-12-20,0.4373
2018-12-21,-0.5806
2018-12-24,-0.146
2018-12-26,-0.1462
2018-12-27,-0.7321
2018-12-28,-0.7375
2018-12-31,0.2972
2019-01-02,-1.5185
2019-01-03,-5.5283999999999995
2019-01-04,5.2548
2019-01-07,-3.4796
2019-01-08,-2.6646
2019-01-09,5.7971
2019-01-10,1.6743000000000001
2019-01-11,0.1497
2019-01-14,7.1749
2019-01-15,-5.8577
2019-01-16,-4.5926
2019-01-17,0.4658
2019-01-18,-1.8547
2019-01-22,-0.7874
2019-01-23,0.0
2019-01-24,3.1746
2019-01-25,-2.3077
2019-01-28,-2.2047
2019-01-29,1.6103
2019-01-30,2.0602
2019-01-31,0.9317
2019-02-01,-6.1538
2019-02-04,4.0984
2019-02-05,1.4173
2019-02-06,0.4658
2019-02-07,-0.1546
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.3096
2019-02-13,-0.6173
2019-02-14,0.6211
2019-02-15,-1.5432000000000001
2019-02-19,-2.6646
2019-02-20,1.4493
2019-02-21,0.7937
2019-02-22,-0.315
2019-02-25,0.6319
2019-02-26,0.0
2019-02-27,-3.4537
2019-02-28,0.6504
2019-03-01,-0.3231
2019-03-04,1.7828
2019-03-05,0.3185
2019-03-06,0.0
2019-03-07,0.0
2019-03-08,0.0
2019-03-11,-0.6349
2019-03-12,0.639
2019-03-13,0.0
2019-03-14,0.0
2019-03-15,0.0
2019-03-18,-0.1587
2019-03-19,0.159
2019-03-20,0.0
2019-03-21,6.1905
2019-03-22,-0.5979
2019-03-25,2.2556
2019-03-26,0.0
2019-03-27,1.9118
2019-03-28,-1.0101
2019-03-29,-2.3324
2019-04-01,-1.4925
2019-04-02,-0.7576
2019-04-03,3.2061
2019-04-04,-2.8106999999999998
2019-04-05,3.0441
2019-04-08,2.2157
2019-04-09,7.0809
2019-04-10,1.2146
2019-04-11,-1.3333
2019-04-12,-0.6757
2019-04-15,1.3605
2019-04-16,0.2685
